Date,EBITDA
2020-12-31,$36
2020-09-30,$75
2020-06-30,$102
2020-03-31,$90
2019-12-31,$-16
2019-09-30,$51
2019-06-30,$79
2019-03-31,$134
2018-12-31,$16
2018-09-30,$73
2018-06-30,$74
2018-03-31,$88
2017-12-31,$-112
2017-09-30,$141
2017-06-30,$165
2017-03-31,$112
2016-12-31,$-101
2016-09-30,$163
2016-06-30,$63
2016-03-31,$64
2015-12-31,$40
2015-09-30,$74
2015-06-30,$70
2015-03-31,$46
2014-12-31,$-32
2014-09-30,$12
2014-06-30,$43
2014-03-31,$44
2013-12-31,$25
2013-09-30,$203
2013-06-30,$242
2013-03-31,$47
2012-12-31,$76
2012-09-30,$38
2012-06-30,$33
2012-03-31,$47
2011-12-31,$41
2011-09-30,$23
2011-06-30,$47
2011-03-31,$50
2010-12-31,$56
2010-09-30,$52
2010-06-30,$44
2010-03-31,$10
2009-12-31,$41
2009-09-30,$31
2009-06-30,$45
2009-03-31,$44
2008-12-31,$26
2008-09-30,$42
2008-06-30,$57
2008-03-31,$-9
2007-12-31,$50
2007-09-30,$43
2007-06-30,$62
2007-03-31,$10
2006-12-31,$-1
2006-09-30,$10
2006-06-30,$8
2006-03-31,$13
2005-12-31,$10
2005-09-30,$11
2005-06-30,$9
2005-03-31,$9
