BGC Partners ROA - Return on Assets Historical Data,BGC Partners ROA - Return on Assets Historical Data,BGC Partners ROA - Return on Assets Historical Data,BGC Partners ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.05B,$3.95B,1.02%
2020-09-30,$0.04B,$4.59B,0.79%
2020-06-30,$0.01B,$4.50B,0.27%
2020-03-31,$0.00B,$5.73B,0.00%
2019-12-31,$0.05B,$3.93B,0.92%
2019-09-30,$0.06B,$6.55B,1.08%
2019-06-30,$0.18B,$5.39B,3.17%
2019-03-31,$0.20B,$5.05B,3.33%
2018-12-31,$0.20B,$3.43B,3.06%
2018-09-30,$0.09B,$8.73B,1.35%
2018-06-30,$0.06B,$6.85B,0.85%
2018-03-31,$0.07B,$6.78B,1.20%
2017-12-31,$0.05B,$5.43B,0.91%
2017-09-30,$0.24B,$7.25B,4.34%
2017-06-30,$0.25B,$5.18B,4.97%
2017-03-31,$0.21B,$4.91B,4.21%
2016-12-31,$0.19B,$5.05B,3.79%
2016-09-30,$0.21B,$4.81B,4.59%
2016-06-30,$0.16B,$5.11B,3.67%
2016-03-31,$0.16B,$4.55B,3.80%
2015-12-31,$0.16B,$3.98B,3.66%
2015-09-30,$0.04B,$4.12B,1.04%
2015-06-30,$0.01B,$3.97B,0.30%
2015-03-31,$0.01B,$5.29B,0.30%
2014-12-31,$0.00B,$2.75B,0.15%
2014-09-30,$0.03B,$2.68B,1.05%
2014-06-30,$0.05B,$2.45B,1.71%
2014-03-31,$0.07B,$3.07B,2.46%
2013-12-31,$0.07B,$2.08B,2.55%
2013-09-30,$0.08B,$2.95B,3.04%
2013-06-30,$0.06B,$3.45B,2.29%
2013-03-31,$0.02B,$2.50B,1.14%
2012-12-31,$0.02B,$1.64B,1.30%
2012-09-30,$0.01B,$2.02B,0.78%
2012-06-30,$0.01B,$1.88B,0.68%
2012-03-31,$0.02B,$1.85B,1.14%
2011-12-31,$0.02B,$1.41B,1.22%
2011-09-30,$0.03B,$1.90B,1.67%
2011-06-30,$0.04B,$1.83B,2.27%
2011-03-31,$0.03B,$1.76B,2.17%
2010-12-31,$0.02B,$1.47B,1.31%
2010-09-30,$0.01B,$1.47B,0.69%
2010-06-30,$0.01B,$1.57B,0.43%
2010-03-31,$0.01B,$1.92B,0.45%
2009-12-31,$0.02B,$1.47B,1.24%
2009-09-30,$0.02B,$1.56B,1.19%
2009-06-30,$0.02B,$2.22B,1.53%
2009-03-31,$0.03B,$1.20B,1.93%
2008-12-31,$-0.03B,$1.07B,-2.55%
2008-09-30,$-0.02B,$1.55B,-1.84%
2008-06-30,$-0.02B,$1.78B,-2.13%
2008-03-31,$-0.02B,$0.30B,-3.34%
2007-12-31,$0.03B,$1.38B,5.46%
2007-09-30,$-0.08B,$0.30B,-28.31%
2007-06-30,$-0.10B,$0.29B,-32.23%
2007-03-31,$-0.11B,$0.30B,-36.80%
2006-12-31,$-0.11B,$0.29B,-36.86%
2006-09-30,$0.00B,$0.29B,0.35%
2006-06-30,$0.00B,$0.29B,1.39%
2006-03-31,$0.00B,$0.29B,1.04%
2005-12-31,$0.00B,$0.28B,0.69%
