Date,Shares
2020-12-31,547
2020-09-30,549
2020-06-30,546
2020-03-31,538
2019-12-31,460
2019-09-30,346
2019-06-30,523
2019-03-31,516
2018-12-31,499
2018-09-30,437
2018-06-30,323
2018-03-31,479
2017-12-31,291
2017-09-30,457
2017-06-30,452
2017-03-31,445
2016-12-31,277
2016-09-30,430
2016-06-30,437
2016-03-31,435
2015-12-31,286
2015-09-30,394
2015-06-30,367
2015-03-31,338
2014-12-31,221
2014-09-30,331
2014-06-30,327
2014-03-31,322
2013-12-31,318
2013-09-30,355
2013-06-30,378
2013-03-31,318
2012-12-31,281
2012-09-30,147
2012-06-30,275
2012-03-31,264
2011-12-31,117
2011-09-30,124
2011-06-30,244
2011-03-31,237
2010-12-31,229
2010-09-30,228
2010-06-30,226
2010-03-31,83
2009-12-31,211
2009-09-30,216
2009-06-30,211
2009-03-31,200
2008-12-31,189
2008-09-30,197
2008-06-30,190
2008-03-31,185
2007-12-31,185
2007-09-30,184
2007-06-30,185
2007-03-31,51
2006-12-31,184
2006-09-30,50
2006-06-30,50
2006-03-31,51
2005-12-31,52
2005-09-30,52
2005-06-30,51
2005-03-31,54
