Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.016077,3.125402,2.990354,3.112540,1.371210,428714
2010-01-05,3.118971,3.215434,3.112540,3.125402,1.376876,408654
2010-01-06,3.131833,3.183280,3.003215,3.028939,1.334380,218789
2010-01-07,3.028939,3.112540,2.932476,3.093248,1.362711,274302
2010-01-08,3.093248,3.157556,3.009646,3.093248,1.362711,202772
2010-01-11,3.099678,3.157556,3.041801,3.067524,1.351378,357806
2010-01-12,3.041801,3.080386,2.958199,2.971061,1.308882,254243
2010-01-13,2.983923,3.035370,2.945338,3.003215,1.323047,347698
2010-01-14,2.983923,3.035370,2.938907,2.977492,1.311715,146481
2010-01-15,2.983923,3.009646,2.842444,2.887460,1.272052,248800
2010-01-19,2.887460,3.009646,2.553055,2.964630,1.306049,605051
2010-01-20,2.938907,2.938907,2.418006,2.790997,1.229556,572862
2010-01-21,2.790997,2.868167,2.713826,2.790997,1.229556,668961
2010-01-22,2.790997,2.855305,2.726688,2.745981,1.209724,392327
2010-01-25,2.765273,2.855305,2.700965,2.739550,1.206891,353296
2010-01-26,2.739550,2.771704,2.694534,2.765273,1.218223,427470
2010-01-27,2.739550,2.816720,2.655949,2.694534,1.187060,293740
2010-01-28,2.707395,2.790997,2.604502,2.630225,1.158729,236671
2010-01-29,2.649518,2.733119,2.604502,2.617363,1.153062,262640
2010-02-01,2.636656,2.733119,2.598071,2.610932,1.150229,485316
2010-02-02,2.604502,2.617363,2.553055,2.565916,1.130398,695396
2010-02-03,2.559486,2.585209,2.520900,2.527331,1.113400,742668
2010-02-04,2.527331,2.546624,2.392283,2.398714,1.056738,410365
2010-02-05,2.418006,2.591640,2.392283,2.456592,1.082236,256731
2010-02-08,2.463023,2.565916,2.450161,2.456592,1.082236,229052
2010-02-09,2.488746,2.585209,2.443730,2.488746,1.096401,287675
2010-02-10,2.482315,2.501608,2.443730,2.495177,1.099235,204483
2010-02-11,2.488746,2.623794,2.475884,2.617363,1.153062,211169
2010-02-12,2.585209,2.688103,2.533762,2.668810,1.175727,292340
2010-02-16,2.694534,2.694534,2.559486,2.578778,1.136064,243980
2010-02-17,2.598071,2.668810,2.591640,2.649518,1.167228,314421
2010-02-18,2.655949,2.675241,2.578778,2.649518,1.167228,245068
2010-02-19,2.649518,2.726688,2.533762,2.713826,1.195559,380975
2010-02-22,2.745981,2.765273,2.604502,2.668810,1.175727,483450
2010-02-23,2.668810,2.778135,2.649518,2.745981,1.209724,245068
2010-02-24,2.893891,3.279743,2.893891,3.234727,1.425039,1371977
2010-02-25,3.151125,3.215434,3.054662,3.209003,1.413706,823217
2010-02-26,3.215434,3.221865,3.118971,3.189711,1.405207,539741
2010-03-01,3.215434,3.376206,3.118971,3.376206,1.487366,766926
2010-03-02,3.376206,3.389068,3.254019,3.344051,1.473200,399324
2010-03-03,3.369775,3.524116,3.344051,3.453376,1.521363,1125198
2010-03-04,3.434084,3.536977,3.408360,3.504823,1.561474,927402
2010-03-05,3.536977,3.633441,3.504823,3.620579,1.613045,721209
2010-03-08,3.639871,3.717042,3.536977,3.691318,1.644561,1249909
2010-03-09,3.672026,3.729904,3.594855,3.717042,1.656022,514861
2010-03-10,3.717042,3.813505,3.678457,3.787781,1.687538,982760
2010-03-11,3.768489,3.813505,3.620579,3.807074,1.696134,457792
2010-03-12,3.826367,3.864952,3.781350,3.845659,1.713324,435400
2010-03-15,3.852090,3.877814,3.781350,3.864952,1.721919,543317
2010-03-16,3.884244,3.909968,3.845659,3.903537,1.739110,447374
2010-03-17,3.903537,3.967846,3.858521,3.929260,1.750570,429647
2010-03-18,3.948553,3.948553,3.749196,3.800643,1.693269,968610
2010-03-19,3.807074,3.852090,3.639871,3.665595,1.633102,1029566
2010-03-22,3.665595,3.884244,3.652733,3.877814,1.727649,662119
2010-03-23,3.909968,3.987138,3.858521,3.974277,1.770626,653100
2010-03-24,3.935691,4.051447,3.858521,3.935691,1.753434,710791
2010-03-25,4.122186,4.141479,4.000000,4.096463,1.825062,997066
2010-03-26,4.135048,4.160772,4.077170,4.090032,1.822197,513772
2010-03-29,4.096463,4.096463,3.890675,3.903537,1.739110,718410
2010-03-30,3.916399,3.974277,3.909968,3.954984,1.762031,320486
2010-03-31,3.935691,4.038585,3.897106,3.929260,1.750570,459192
2010-04-01,3.974277,3.980707,3.858521,3.897106,1.736245,243358
2010-04-05,3.897106,4.045016,3.877814,4.045016,1.802142,442709
2010-04-06,4.025723,4.122186,4.019293,4.109325,1.830792,337746
2010-04-07,4.115756,4.160772,4.025723,4.070740,1.813603,468366
2010-04-08,4.070740,4.070740,3.903537,4.032154,1.796411,398702
2010-04-09,4.045016,4.064309,3.961415,3.980707,1.773490,255020
2010-04-12,3.967846,3.993569,3.942122,3.980707,1.773490,265128
2010-04-13,3.948553,4.160772,3.948553,4.147910,1.847983,425915
2010-04-14,4.160772,4.225080,4.147910,4.218650,1.879499,445819
2010-04-15,4.225080,4.315113,4.167203,4.263666,1.899555,459036
2010-04-16,4.263666,4.295820,4.109325,4.122186,1.836523,579704
2010-04-19,4.083601,4.192926,3.980707,4.064309,1.810737,662275
2010-04-20,4.077170,4.212219,4.045016,4.186495,1.865173,518126
2010-04-21,4.199357,4.225080,4.160772,4.173633,1.859444,714989
2010-04-22,4.135048,4.270096,4.135048,4.237942,1.888094,897702
2010-04-23,4.257235,4.276527,4.199357,4.231511,1.885229,507086
2010-04-26,4.244373,4.392283,4.244373,4.282958,1.908150,440065
2010-04-27,4.276527,4.347267,4.237942,4.295820,1.913881,598364
2010-04-28,4.347267,4.385852,4.282958,4.379421,1.951127,372267
2010-04-29,4.405145,4.430868,4.295820,4.334405,1.931070,412386
2010-04-30,4.340836,4.398714,4.180064,4.186495,1.865173,365736
2010-05-03,4.212219,4.482315,4.199357,4.475884,1.994103,379576
2010-05-04,4.411576,4.437299,4.167203,4.231511,1.885229,885728
2010-05-05,4.199357,4.263666,3.993569,4.019293,1.790682,596965
2010-05-06,4.000000,4.379421,3.755627,4.096463,1.825062,1594186
2010-05-07,4.083601,4.096463,3.717042,3.736334,1.664617,1037341
2010-05-10,4.006431,4.340836,3.916399,4.122186,1.836523,1111825
2010-05-11,4.070740,4.257235,4.012862,4.128617,1.839387,761795
2010-05-12,4.115756,4.231511,4.096463,4.199357,1.912612,440532
2010-05-13,4.167203,4.353698,4.167203,4.302251,1.959476,486249
2010-05-14,4.244373,4.244373,4.038585,4.096463,1.865749,408032
2010-05-17,4.109325,4.167203,4.032154,4.102894,1.868677,412386
2010-05-18,4.122186,4.167203,3.961415,4.006431,1.824743,567575
2010-05-19,3.974277,4.025723,3.768489,3.787781,1.725158,642526
2010-05-20,3.832797,3.942122,3.672026,3.684887,1.678294,894281
2010-05-21,3.607717,3.884244,3.588424,3.768489,1.716372,929579
2010-05-24,3.762058,3.794212,3.697749,3.697749,1.684153,387195
2010-05-25,3.678457,3.826367,3.594855,3.787781,1.725158,764594
2010-05-26,3.832797,3.871383,3.717042,3.749196,1.707585,516105
2010-05-27,3.852090,4.173633,3.813505,4.167203,1.897967,844210
2010-05-28,4.160772,4.180064,3.980707,4.006431,1.824743,522169
2010-06-01,3.954984,4.038585,3.877814,3.974277,1.810098,1003286
2010-06-02,4.019293,4.090032,3.858521,4.038585,1.839388,1083991
2010-06-03,4.032154,4.115756,3.967846,4.070740,1.854033,985093
2010-06-04,3.974277,4.025723,3.794212,3.800643,1.731017,540207
2010-06-07,3.832797,3.903537,3.530547,3.543408,1.613857,535387
2010-06-08,3.594855,3.646302,3.498392,3.569132,1.625574,833636
2010-06-09,3.620579,3.704180,3.472669,3.504823,1.596284,495890
2010-06-10,3.562701,3.594855,3.453376,3.530547,1.608000,724786
2010-06-11,3.504823,3.581994,3.504823,3.575563,1.628502,634596
2010-06-14,3.633441,3.762058,3.601286,3.633441,1.654864,1085390
2010-06-15,3.678457,3.736334,3.620579,3.678457,1.675366,941553
2010-06-16,3.639871,3.665595,3.549839,3.569132,1.625574,919161
2010-06-17,3.601286,3.652733,3.575563,3.607717,1.643147,618579
2010-06-18,3.633441,3.665595,3.588424,3.588424,1.634360,733338
2010-06-21,3.697749,3.762058,3.569132,3.569132,1.625574,887750
2010-06-22,3.594855,3.665595,3.569132,3.594855,1.637290,808134
2010-06-23,3.601286,3.646302,3.543408,3.588424,1.634360,449395
2010-06-24,3.549839,3.594855,3.440514,3.440514,1.566994,654811
2010-06-25,3.472669,3.517685,3.421222,3.440514,1.566994,5176284
2010-06-28,3.440514,3.536977,3.440514,3.485531,1.587497,903611
2010-06-29,3.414791,3.440514,3.318328,3.344051,1.523060,844521
2010-06-30,3.356913,3.389068,3.247588,3.286174,1.496699,571929
2010-07-01,3.273312,3.331190,3.151125,3.266881,1.487913,682490
2010-07-02,3.196141,3.305466,3.170418,3.202572,1.458623,405855
2010-07-06,3.266881,3.292605,3.093248,3.125402,1.423476,596187
2010-07-07,3.151125,3.215434,3.016077,3.118971,1.420546,1304023
2010-07-08,3.170418,3.228296,3.099678,3.228296,1.470339,844054
2010-07-09,3.228296,3.344051,3.228296,3.318328,1.511344,1221453
2010-07-12,3.311897,3.311897,3.221865,3.266881,1.487913,612204
2010-07-13,3.305466,3.369775,3.260450,3.344051,1.523060,725874
2010-07-14,3.318328,3.408360,3.286174,3.395498,1.546491,838301
2010-07-15,3.408360,3.408360,3.241158,3.305466,1.505486,324373
2010-07-16,3.247588,3.305466,3.247588,3.266881,1.487913,799115
2010-07-19,3.266881,3.305466,3.170418,3.176849,1.446907,332459
2010-07-20,3.138264,3.170418,3.022508,3.170418,1.443978,663674
2010-07-21,3.183280,3.254019,3.061093,3.080386,1.402972,550315
2010-07-22,3.138264,3.138264,3.061093,3.112540,1.417618,1223163
2010-07-23,3.112540,3.350482,3.099678,3.318328,1.511344,698195
2010-07-26,3.344051,3.575563,3.324759,3.556270,1.619716,1057556
2010-07-27,3.588424,3.678457,3.562701,3.575563,1.628502,714989
2010-07-28,3.588424,3.620579,3.472669,3.491961,1.590426,527145
2010-07-29,3.517685,3.588424,3.421222,3.440514,1.566994,566953
2010-07-30,3.389068,3.485531,3.389068,3.485531,1.587497,498222
2010-08-02,3.543408,3.562701,3.434084,3.511254,1.599213,1544737
2010-08-03,3.511254,3.543408,3.440514,3.466238,1.578710,691198
2010-08-04,3.511254,3.536977,3.453376,3.524116,1.605071,694930
2010-08-05,3.517685,3.581994,3.459807,3.485531,1.587497,1095342
