Bank Of New York Mellon Price/Book Ratio Historical Data,Bank Of New York Mellon Price/Book Ratio Historical Data,Bank Of New York Mellon Price/Book Ratio Historical Data,Bank Of New York Mellon Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,48.62,,0.95
2020-09-30,33.78,$50.97,0.66
2020-06-30,37.7,$49.45,0.76
2020-03-31,32.58,$46.57,0.7
2019-12-31,48.35,$46.17,1.05
2019-09-30,43.15,$44.81,0.96
2019-06-30,41.86,$44.25,0.95
2019-03-31,47.54,$43.18,1.1
2018-12-31,44.14,$42.42,1.04
2018-09-30,47.53,$42.12,1.13
2018-06-30,50.01,$41.56,1.2
2018-03-31,47.57,$41.50,1.15
2017-12-31,49.52,$41.02,1.21
2017-09-30,48.52,$39.95,1.21
2017-06-30,46.48,$39.02,1.19
2017-03-31,42.85,$38.15,1.12
2016-12-31,42.81,$37.64,1.14
2016-09-30,35.87,$38.02,0.94
2016-06-30,34.78,$36.65,0.95
2016-03-31,32.83,$36.32,0.9
2015-12-31,36.57,$35.73,1.02
2015-09-30,34.6,$35.64,0.97
2015-06-30,36.95,$35.41,1.04
2015-03-31,35.28,$34.48,1.02
2014-12-31,35.41,$34.41,1.03
2014-09-30,33.65,$34.96,0.96
2014-06-30,32.42,$34.67,0.94
2014-03-31,30.38,$33.99,0.89
2013-12-31,29.93,$33.51,0.89
2013-09-30,25.74,$32.89,0.78
2013-06-30,23.8,$31.94,0.75
2013-03-31,23.63,$31.44,0.75
2012-12-31,21.59,$32.03,0.67
2012-09-30,18.9,$31.78,0.59
2012-06-30,18.23,$29.95,0.61
2012-03-31,19.93,$29.10,0.68
2011-12-31,16.34,$28.18,0.58
2011-09-30,15.16,$28.37,0.53
2011-06-30,20.79,$28.07,0.74
2011-03-31,24.13,$27.41,0.88
2010-12-31,24.33,$26.63,0.91
2010-09-30,20.98,$26.48,0.79
2010-06-30,19.75,$25.62,0.77
2010-03-31,24.63,$25.11,0.98
2009-12-31,22.24,$24.01,0.93
2009-09-30,22.98,$23.51,0.98
2009-06-30,23.15,$22.70,1.02
2009-03-31,22.24,$24.48,0.91
2008-12-31,22.07,$24.46,0.9
2008-09-30,25.17,$23.98,1.05
2008-06-30,29.03,$24.93,1.16
2008-03-31,31.83,$24.89,1.28
2007-12-31,36.99,$25.66,1.44
2007-09-30,33.32,$25.43,1.31
2007-06-30,31.11,$16.50,1.89
2007-03-31,30.28,$16.11,1.88
2006-12-31,29.24,$16.03,1.82
2006-09-30,26.02,$14.52,1.79
2006-06-30,23.61,$13.97,1.69
2006-03-31,26.26,$13.87,1.89
