Bank Of New York Mellon ROA - Return on Assets Historical Data,Bank Of New York Mellon ROA - Return on Assets Historical Data,Bank Of New York Mellon ROA - Return on Assets Historical Data,Bank Of New York Mellon ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$3.42B,$469.63B,0.76%
2020-09-30,$4.10B,$428.40B,0.95%
2020-06-30,$4.23B,$442.32B,1.01%
2020-03-31,$4.29B,$468.16B,1.07%
2019-12-31,$4.25B,$381.51B,1.15%
2019-09-30,$3.70B,$373.17B,1.01%
2019-06-30,$3.77B,$381.17B,1.05%
2019-03-31,$3.85B,$346.13B,1.09%
2018-12-31,$4.07B,$362.87B,1.13%
2018-09-30,$4.36B,$349.77B,1.20%
2018-06-30,$4.28B,$352.93B,1.18%
2018-03-31,$4.14B,$373.60B,1.14%
2017-12-31,$3.88B,$371.76B,1.09%
2017-09-30,$3.57B,$354.40B,1.03%
2017-06-30,$3.55B,$354.82B,1.01%
2017-03-31,$3.45B,$337.54B,0.97%
2016-12-31,$3.37B,$333.47B,0.93%
2016-09-30,$3.19B,$374.11B,0.84%
2016-06-30,$3.05B,$372.35B,0.80%
2016-03-31,$3.06B,$372.87B,0.79%
2015-12-31,$3.02B,$393.78B,0.77%
2015-09-30,$2.59B,$377.37B,0.67%
2015-06-30,$2.83B,$395.25B,0.72%
2015-03-31,$2.55B,$399.09B,0.65%
2014-12-31,$2.45B,$385.30B,0.64%
2014-09-30,$2.75B,$386.30B,0.72%
2014-06-30,$2.64B,$400.74B,0.70%
2014-03-31,$2.91B,$368.24B,0.79%
2013-12-31,$1.99B,$374.52B,0.55%
2013-09-30,$2.10B,$371.95B,0.58%
2013-06-30,$1.87B,$360.51B,0.53%
2013-03-31,$1.51B,$355.94B,0.44%
2012-12-31,$2.40B,$358.99B,0.72%
2012-09-30,$2.28B,$339.94B,0.71%
2012-06-30,$2.22B,$330.28B,0.69%
2012-03-31,$2.48B,$300.17B,0.79%
2011-12-31,$2.48B,$325.27B,0.81%
2011-09-30,$2.66B,$322.19B,0.93%
2011-06-30,$2.64B,$304.71B,0.98%
2011-03-31,$2.57B,$266.44B,1.03%
2010-12-31,$2.52B,$247.26B,1.05%
2010-09-30,$2.43B,$254.16B,1.05%
2010-06-30,$-0.65B,$235.69B,-0.29%
2010-03-31,$-1.13B,$220.55B,-0.53%
2009-12-31,$-1.37B,$212.22B,-0.66%
2009-09-30,$-1.93B,$212.01B,-0.90%
2009-06-30,$0.83B,$203.01B,0.36%
2009-03-31,$0.96B,$203.48B,0.42%
2008-12-31,$1.39B,$237.51B,0.61%
2008-09-30,$1.88B,$267.51B,0.86%
2008-06-30,$2.22B,$201.23B,1.12%
2008-03-31,$2.35B,$204.94B,1.32%
2007-12-31,$2.04B,$197.66B,1.34%
2007-09-30,$3.31B,$183.97B,2.58%
2007-06-30,$3.02B,$126.33B,2.77%
2007-03-31,$3.02B,$99.85B,2.89%
2006-12-31,$3.01B,$103.21B,2.85%
2006-09-30,$1.63B,$106.64B,1.54%
2006-06-30,$1.66B,$108.88B,1.60%
2006-03-31,$1.61B,$103.61B,1.57%
2005-12-31,$1.57B,$102.12B,1.56%
