BlackRock Debt/Equity Ratio Historical Data,BlackRock Debt/Equity Ratio Historical Data,BlackRock Debt/Equity Ratio Historical Data,BlackRock Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$0.00B,,0.0
2020-09-30,$131.19B,$33.93B,3.87
2020-06-30,$124.56B,$32.79B,3.8
2020-03-31,$115.95B,$33.07B,3.51
2019-12-31,$135.01B,$33.61B,4.02
2019-09-30,$131.41B,$32.47B,4.05
2019-06-30,$131.40B,$31.95B,4.11
2019-03-31,$133.65B,$31.36B,4.26
2018-12-31,$127.14B,$32.43B,3.92
2018-09-30,$142.39B,$32.47B,4.39
2018-06-30,$163.37B,$32.18B,5.08
2018-03-31,$184.00B,$32.02B,5.75
2017-12-31,$188.39B,$31.85B,5.92
2017-09-30,$190.47B,$30.10B,6.33
2017-06-30,$187.87B,$29.62B,6.34
2017-03-31,$201.38B,$29.21B,6.9
2016-12-31,$191.03B,$29.15B,6.55
2016-09-30,$197.78B,$28.96B,6.83
2016-06-30,$193.42B,$28.64B,6.76
2016-03-31,$194.49B,$28.47B,6.83
2015-12-31,$196.68B,$28.58B,6.88
2015-09-30,$193.99B,$28.22B,6.87
2015-06-30,$209.14B,$27.87B,7.5
2015-03-31,$215.24B,$27.48B,7.83
2014-12-31,$212.31B,$27.49B,7.72
2014-09-30,$195.58B,$27.24B,7.18
2014-06-30,$204.67B,$27.02B,7.58
2014-03-31,$189.68B,$26.61B,7.13
2013-12-31,$193.26B,$26.62B,7.26
2013-09-30,$186.57B,$26.15B,7.14
2013-06-30,$167.99B,$25.76B,6.52
2013-03-31,$175.11B,$25.63B,6.83
2012-12-31,$174.87B,$25.59B,6.84
2012-09-30,$167.57B,$25.26B,6.63
2012-06-30,$157.60B,$24.88B,6.33
2012-03-31,$159.99B,$25.52B,6.27
2011-12-31,$154.63B,$25.27B,6.12
2011-09-30,$149.34B,$24.94B,5.99
2011-06-30,$160.38B,$24.67B,6.5
2011-03-31,$151.71B,$26.71B,5.68
2010-12-31,$152.13B,$26.33B,5.78
2010-09-30,$148.88B,$25.63B,5.81
2010-06-30,$137.11B,$25.15B,5.45
2010-03-31,$143.19B,$24.87B,5.76
2009-12-31,$153.57B,$24.55B,6.26
2009-09-30,$8.09B,$13.29B,0.61
2009-06-30,$7.45B,$12.96B,0.58
2009-03-31,$6.95B,$12.27B,0.57
2008-12-31,$7.63B,$12.29B,0.62
2008-09-30,$9.51B,$12.19B,0.78
2008-06-30,$9.89B,$12.13B,0.82
2008-03-31,$10.00B,$11.81B,0.85
2007-12-31,$10.97B,$11.60B,0.95
2007-09-30,$11.81B,$11.27B,1.05
2007-06-30,$10.89B,$11.10B,0.98
2007-03-31,$9.88B,$11.00B,0.9
2006-12-31,$9.69B,$10.78B,0.9
2006-09-30,$7.27B,$10.61B,0.69
2006-06-30,$0.88B,$1.04B,0.85
2006-03-31,$0.85B,$0.99B,0.86
2005-12-31,$0.93B,$0.92B,1.0
2005-09-30,$0.81B,$0.87B,0.93
2005-06-30,$0.71B,$0.85B,0.83
2005-03-31,$0.65B,$0.85B,0.77
