Date,EBIT
2020-12-31,"$1,848"
2020-09-30,"$1,757"
2020-06-30,"$1,406"
2020-03-31,$684
2019-12-31,"$1,538"
2019-09-30,"$1,502"
2019-06-30,"$1,278"
2019-03-31,"$1,233"
2018-12-31,"$1,246"
2018-09-30,"$1,396"
2018-06-30,"$1,440"
2018-03-31,"$1,375"
2017-12-31,"$1,485"
2017-09-30,"$1,389"
2017-06-30,"$1,237"
2017-03-31,"$1,143"
2016-12-31,"$1,220"
2016-09-30,"$1,209"
2016-06-30,"$1,173"
2016-03-31,$963
2015-12-31,"$1,137"
2015-09-30,"$1,222"
2015-06-30,"$1,238"
2015-03-31,"$1,067"
2014-12-31,"$1,144"
2014-09-30,"$1,157"
2014-06-30,"$1,122"
2014-03-31,"$1,051"
2013-12-31,"$1,133"
2013-09-30,$966
2013-06-30,$849
2013-03-31,$909
2012-12-31,"$1,005"
2012-09-30,$875
2012-06-30,$829
2012-03-31,$815
2011-12-31,$808
2011-09-30,$777
2011-06-30,$866
2011-03-31,$798
2010-12-31,$940
2010-09-30,$707
2010-06-30,$697
2010-03-31,$654
2009-12-31,$389
2009-09-30,$357
2009-06-30,$261
2009-03-31,$271
2008-12-31,$338
2008-09-30,$454
2008-06-30,$405
2008-03-31,$396
2007-12-31,$468
2007-09-30,$272
2007-06-30,$282
2007-03-31,$272
2006-12-31,$246
2006-09-30,$29
2006-06-30,$97
2006-03-31,$100
2005-12-31,$112
2005-09-30,$80
2005-06-30,$82
2005-03-31,$67
