Date,EPS
2020-12-31,$10.02
2020-09-30,$8.87
2020-06-30,$7.85
2020-03-31,$5.15
2019-12-31,$8.26
2019-09-30,$7.15
2019-06-30,$6.41
2019-03-31,$6.61
2018-12-31,$5.74
2018-09-30,$7.54
2018-06-30,$6.62
2018-03-31,$6.68
2017-12-31,$13.95
2017-09-30,$5.76
2017-06-30,$5.20
2017-03-31,$5.21
2016-12-31,$5.11
2016-09-30,$5.26
2016-06-30,$4.73
2016-03-31,$3.92
2015-12-31,$5.11
2015-09-30,$5.00
2015-06-30,$4.84
2015-03-31,$4.84
2014-12-31,$4.76
2014-09-30,$5.37
2014-06-30,$4.72
2014-03-31,$4.40
2013-12-31,$4.85
2013-09-30,$4.21
2013-06-30,$4.19
2013-03-31,$3.62
2012-12-31,$3.92
2012-09-30,$3.65
2012-06-30,$3.08
2012-03-31,$3.14
2011-12-31,$3.04
2011-09-30,$3.23
2011-06-30,$3.21
2011-03-31,$2.89
2010-12-31,$3.34
2010-09-30,$2.83
2010-06-30,$2.21
2010-03-31,$2.17
2009-12-31,$1.63
2009-09-30,$2.27
2009-06-30,$1.59
2009-03-31,$0.62
2008-12-31,$0.42
2008-09-30,$1.59
2008-06-30,$2.00
2008-03-31,$1.77
2007-12-31,$2.26
2007-09-30,$1.94
2007-06-30,$1.69
2007-03-31,$1.48
2006-12-31,$1.58
2006-09-30,$0.28
2006-06-30,$0.95
2006-03-31,$1.06
2005-12-31,$1.08
2005-09-30,$0.92
2005-06-30,$0.80
2005-03-31,$0.70
