BlackRock Price/Book Ratio Historical Data,BlackRock Price/Book Ratio Historical Data,BlackRock Price/Book Ratio Historical Data,BlackRock Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,808.35,,3.63
2020-09-30,557.34,$222.51,2.5
2020-06-30,534.74,$215.05,2.49
2020-03-31,429.55,$214.37,2.0
2019-12-31,487.23,$217.73,2.24
2019-09-30,429.04,$210.35,2.04
2019-06-30,448.26,$206.74,2.17
2019-03-31,405.15,$202.99,2.0
2018-12-31,372.4,$205.85,1.81
2018-09-30,443.28,$204.42,2.17
2018-06-30,466.25,$201.39,2.32
2018-03-31,503.5,$199.75,2.52
2017-12-31,474.97,$199.08,2.39
2017-09-30,411.33,$187.49,2.19
2017-06-30,386.31,$183.79,2.1
2017-03-31,348.63,$180.51,1.93
2016-12-31,343.74,$180.46,1.9
2016-09-30,325.5,$178.47,1.82
2016-06-30,305.72,$175.81,1.74
2016-03-31,302.05,$174.03,1.74
2015-12-31,299.89,$174.84,1.72
2015-09-30,260.4,$172.17,1.51
2015-06-30,300.7,$169.70,1.77
2015-03-31,316.02,$166.57,1.9
2014-12-31,307.06,$166.79,1.84
2014-09-30,280.42,$164.59,1.7
2014-06-30,271.38,$162.54,1.67
2014-03-31,265.38,$159.36,1.67
2013-12-31,265.39,$159.77,1.66
2013-09-30,225.69,$156.30,1.44
2013-06-30,212.83,$153.17,1.39
2013-03-31,210.22,$151.69,1.39
2012-12-31,168.0,$151.50,1.11
2012-09-30,143.81,$151.17,0.95
2012-06-30,135.81,$148.67,0.91
2012-03-31,162.4,$182.89,0.89
2011-12-31,140.2,$182.50,0.77
2011-09-30,115.47,$179.39,0.64
2011-06-30,148.4,$182.67,0.81
2011-03-31,154.42,$201.95,0.76
2010-12-31,145.45,$200.64,0.72
2010-09-30,129.16,$408.32,0.32
2010-06-30,108.03,$395.96,0.27
2010-03-31,163.05,$392.48,0.42
2009-12-31,173.06,$396.68,0.44
2009-09-30,161.05,$265.44,0.61
2009-06-30,129.79,$259.60,0.5
2009-03-31,95.76,$260.26,0.37
2008-12-31,97.95,$104.82,0.93
2008-09-30,140.99,$103.96,1.36
2008-06-30,127.85,$103.61,1.23
2008-03-31,146.94,$101.47,1.45
2007-12-31,155.43,$99.91,1.56
2007-09-30,123.9,$97.68,1.27
2007-06-30,111.4,$95.97,1.16
2007-03-31,110.71,$94.53,1.17
2006-12-31,107.12,$92.62,1.16
2006-09-30,104.77,$91.10,1.15
2006-06-30,97.54,$16.23,6.01
2006-03-31,97.82,$15.42,6.34
