BOK Financial Debt/Equity Ratio Historical Data,BOK Financial Debt/Equity Ratio Historical Data,BOK Financial Debt/Equity Ratio Historical Data,BOK Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$41.38B,$5.29B,7.82
2020-09-30,$40.84B,$5.23B,7.82
2020-06-30,$40.72B,$5.10B,7.98
2020-03-31,$42.09B,$5.03B,8.36
2019-12-31,$37.31B,$4.86B,7.67
2019-09-30,$38.29B,$4.84B,7.92
2019-06-30,$37.18B,$4.72B,7.88
2019-03-31,$35.35B,$4.53B,7.8
2018-12-31,$33.58B,$4.44B,7.56
2018-09-30,$29.66B,$3.63B,8.18
2018-06-30,$30.26B,$3.58B,8.46
2018-03-31,$29.84B,$3.52B,8.49
2017-12-31,$28.75B,$3.52B,8.17
2017-09-30,$29.49B,$3.51B,8.39
2017-06-30,$28.81B,$3.45B,8.35
2017-03-31,$29.26B,$3.37B,8.68
2016-12-31,$29.47B,$3.31B,8.91
2016-09-30,$29.35B,$3.43B,8.55
2016-06-30,$28.57B,$3.40B,8.4
2016-03-31,$28.06B,$3.36B,8.36
2015-12-31,$28.21B,$3.27B,8.63
2015-09-30,$27.15B,$3.42B,7.95
2015-06-30,$27.31B,$3.41B,8.0
2015-03-31,$26.91B,$3.39B,7.94
2014-12-31,$25.75B,$3.34B,7.72
2014-09-30,$25.83B,$3.28B,7.88
2014-06-30,$24.60B,$3.25B,7.57
2014-03-31,$24.22B,$3.15B,7.7
2013-12-31,$23.96B,$3.06B,7.84
2013-09-30,$24.14B,$3.03B,7.98
2013-06-30,$24.82B,$2.99B,8.29
2013-03-31,$24.40B,$3.05B,8.01
2012-12-31,$25.16B,$2.99B,8.4
2012-09-30,$24.11B,$3.01B,8.0
2012-06-30,$22.65B,$2.92B,7.75
2012-03-31,$23.01B,$2.87B,8.02
2011-12-31,$22.71B,$2.79B,8.15
2011-09-30,$22.30B,$2.77B,8.06
2011-06-30,$21.55B,$2.69B,8.0
2011-03-31,$21.10B,$2.60B,8.12
2010-12-31,$21.40B,$2.54B,8.41
2010-09-30,$21.86B,$2.52B,8.66
2010-06-30,$21.29B,$2.45B,8.69
2010-03-31,$21.17B,$2.33B,9.08
2009-12-31,$21.29B,$2.23B,9.57
2009-09-30,$21.67B,$2.20B,9.83
2009-06-30,$20.70B,$2.07B,10.02
2009-03-31,$21.39B,$1.95B,10.99
2008-12-31,$20.88B,$1.86B,11.22
2008-09-30,$20.42B,$1.96B,10.42
2008-06-30,$20.47B,$1.96B,10.44
2008-03-31,$19.11B,$2.01B,9.5
2007-12-31,$18.73B,$1.94B,9.68
2007-09-30,$17.98B,$1.87B,9.62
2007-06-30,$17.49B,$1.80B,9.74
2007-03-31,$16.30B,$1.79B,9.12
2006-12-31,$16.34B,$1.72B,9.49
2006-09-30,$15.45B,$1.67B,9.25
2006-06-30,$15.34B,$1.58B,9.69
2006-03-31,$14.74B,$1.57B,9.41
2005-12-31,$14.79B,$1.54B,9.61
2005-09-30,$14.83B,$1.51B,9.8
2005-06-30,$13.97B,$1.48B,9.44
2005-03-31,$13.20B,$1.42B,9.32
