Date,EPS
2020-12-31,$2.20
2020-09-30,$2.19
2020-06-30,$0.92
2020-03-31,$0.88
2019-12-31,$1.56
2019-09-30,$2.00
2019-06-30,$1.93
2019-03-31,$1.54
2018-12-31,$1.48
2018-09-30,$1.79
2018-06-30,$1.75
2018-03-31,$1.61
2017-12-31,$1.10
2017-09-30,$1.31
2017-06-30,$1.35
2017-03-31,$1.35
2016-12-31,$0.76
2016-09-30,$1.13
2016-06-30,$1.00
2016-03-31,$0.64
2015-12-31,$0.89
2015-09-30,$1.09
2015-06-30,$1.15
2015-03-31,$1.08
2014-12-31,$0.92
2014-09-30,$1.09
2014-06-30,$1.10
2014-03-31,$1.11
2013-12-31,$1.05
2013-09-30,$1.10
2013-06-30,$1.16
2013-03-31,$1.28
2012-12-31,$1.21
2012-09-30,$1.27
2012-06-30,$1.43
2012-03-31,$1.22
2011-12-31,$0.99
2011-09-30,$1.24
2011-06-30,$1.00
2011-03-31,$0.94
2010-12-31,$0.86
2010-09-30,$0.94
2010-06-30,$0.93
2010-03-31,$0.88
2009-12-31,$0.63
2009-09-30,$0.75
2009-06-30,$0.77
2009-03-31,$0.81
2008-12-31,$0.53
2008-09-30,$0.84
2008-06-30,$-0.02
2008-03-31,$0.92
2007-12-31,$0.75
2007-09-30,$0.89
2007-06-30,$0.80
2007-03-31,$0.78
2006-12-31,$0.75
2006-09-30,$0.78
2006-06-30,$0.82
2006-03-31,$0.81
2005-12-31,$0.72
2005-09-30,$0.76
2005-06-30,$0.75
2005-03-31,$0.78
