Date,EPS
2020-12-31,$14.67
2020-09-30,$12.65
2020-06-30,$10.87
2020-03-31,$-20.42
2019-12-31,$11.92
2019-09-30,$6.74
2019-06-30,$5.74
2019-03-31,$8.80
2018-12-31,$-10.29
2018-09-30,$7.52
2018-06-30,$4.86
2018-03-31,$-0.46
2017-12-31,$11.25
2017-09-30,$3.58
2017-06-30,$1.73
2017-03-31,$1.65
2016-12-31,$2.55
2016-09-30,$2.92
2016-06-30,$2.03
2016-03-31,$2.27
2015-12-31,$2.22
2015-09-30,$3.82
2015-06-30,$1.63
2015-03-31,$2.09
2014-12-31,$1.69
2014-09-30,$1.87
2014-06-30,$2.59
2014-03-31,$1.91
2013-12-31,$2.02
2013-09-30,$2.05
2013-06-30,$1.84
2013-03-31,$1.98
2012-12-31,$1.84
2012-09-30,$1.58
2012-06-30,$1.25
2012-03-31,$1.31
2011-12-31,$1.23
2011-09-30,$0.92
2011-06-30,$1.38
2011-03-31,$0.61
2010-12-31,$1.76
2010-09-30,$1.21
2010-06-30,$0.80
2010-03-31,$1.51
2009-12-31,$1.31
2009-09-30,$1.39
2009-06-30,$1.42
2009-03-31,$-0.66
2008-12-31,$0.12
2008-09-30,$0.44
2008-06-30,$1.20
2008-03-31,$0.39
2007-12-31,$1.41
2007-09-30,$1.90
2007-06-30,$1.30
2007-03-31,$1.09
2006-12-31,$1.50
2006-09-30,$1.16
2006-06-30,$0.98
2006-03-31,$0.97
2005-12-31,$2.15
2005-09-30,$0.25
2005-06-30,$0.61
2005-03-31,$0.57
