Berkshire Hathaway Price/Book Ratio Historical Data,Berkshire Hathaway Price/Book Ratio Historical Data,Berkshire Hathaway Price/Book Ratio Historical Data,Berkshire Hathaway Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,400000.0,,1197.06
2020-12-31,347815.0,$334.15,1040.89
2020-09-30,320001.0,$303.74,1053.54
2020-06-30,267300.0,$284.80,938.54
2020-03-31,272000.0,$270.69,1004.85
2019-12-31,339590.0,$309.39,1097.61
2019-09-30,311832.0,$289.97,1075.38
2019-06-30,318350.0,$282.24,1127.93
2019-03-31,301215.0,$272.31,1106.13
2018-12-31,306000.0,$257.65,1187.67
2018-09-30,320000.05,$278.34,1149.66
2018-06-30,282040.01,$268.25,1051.41
2018-03-31,299100.0,$260.77,1146.99
2017-12-31,297600.01,$262.38,1134.25
2017-09-30,274740.0,$233.46,1176.84
2017-06-30,254700.0,$231.20,1101.65
2017-03-31,249850.0,$225.49,1108.02
2016-12-31,244121.0,$219.11,1114.17
2016-09-30,216220.0,$211.63,1021.67
2016-06-30,216975.0,$211.28,1026.97
2016-03-31,213450.0,$208.46,1023.96
2015-12-31,197800.0,$206.36,958.51
2015-09-30,195240.0,$201.19,970.42
2015-06-30,204850.0,$199.71,1025.73
2015-03-31,217500.0,$199.37,1090.95
2014-12-31,226000.0,$198.28,1139.81
2014-09-30,206900.0,$198.04,1044.72
2014-06-30,189900.0,$199.45,952.1
2014-03-31,187350.0,$195.01,960.71
2013-12-31,177900.0,$190.53,933.72
2013-09-30,170410.0,$180.75,942.79
2013-06-30,168600.0,$179.80,937.71
2013-03-31,156280.0,$179.19,872.16
2012-12-31,134060.0,$170.62,785.71
2012-09-30,132700.0,$172.37,769.84
2012-06-30,124945.0,$167.46,746.11
2012-03-31,121900.0,$167.10,729.5
2011-12-31,114755.0,$157.94,726.57
2011-09-30,106800.0,$153.40,696.23
2011-06-30,116105.0,$156.35,742.58
2011-03-31,125300.0,$154.78,809.55
2010-12-31,120450.0,$154.89,777.65
2010-09-30,124500.0,$150.01,829.96
2010-06-30,120000.0,$149.34,803.53
2010-03-31,121800.0,$158.43,768.82
2009-12-31,99200.0,$182.08,544.82
2009-09-30,101000.0,$164.41,614.31
2009-06-30,90000.0,$149.58,601.67
2009-03-31,86700.0,$134.62,644.01
2008-12-31,96600.0,$154.41,625.62
2008-09-30,130600.0,,0.0
2008-06-30,120750.0,,0.0
2008-03-31,133400.0,,0.0
2007-12-31,141600.0,,0.0
2007-09-30,118510.0,,0.0
2007-06-30,109475.0,,0.0
2007-03-31,108990.0,,0.0
2006-12-31,109990.0,,0.0
2006-09-30,95800.0,,0.0
2006-06-30,91659.0,,0.0
2006-03-31,90350.0,,0.0
