Date,EBIT
2020-12-31,$148
2020-09-30,$172
2020-06-30,$143
2020-03-31,$221
2019-12-31,$118
2019-09-30,$168
2019-06-30,$140
2019-03-31,$164
2018-12-31,$113
2018-09-30,$151
2018-06-30,$111
2018-03-31,$128
2017-12-31,$116
2017-09-30,$134
2017-06-30,$118
2017-03-31,$121
2016-12-31,$105
2016-09-30,$127
2016-06-30,$119
2016-03-31,$112
2015-12-31,$105
2015-09-30,$123
2015-06-30,$111
2015-03-31,$104
2014-12-31,$48
2014-09-30,$120
2014-06-30,$109
2014-03-31,$91
2013-12-31,$81
2013-09-30,$100
2013-06-30,$90
2013-03-31,$103
2012-12-31,$73
2012-09-30,$86
2012-06-30,$75
2012-03-31,$87
2011-12-31,$63
2011-09-30,$76
2011-06-30,$65
2011-03-31,$80
2010-12-31,$56
2010-09-30,$77
2010-06-30,$72
2010-03-31,$77
2009-12-31,$45
2009-09-30,$71
2009-06-30,$71
2009-03-31,$83
2008-12-31,$58
2008-09-30,$71
2008-06-30,$70
2008-03-31,$88
2007-12-31,$57
2007-09-30,$79
2007-06-30,$88
2007-03-31,$102
2006-12-31,$65
2006-09-30,$69
2006-06-30,$74
2006-03-31,$85
2005-12-31,$61
2005-09-30,$59
2005-06-30,$64
2005-03-31,$74
