Brown & Brown ROA - Return on Assets Historical Data,Brown & Brown ROA - Return on Assets Historical Data,Brown & Brown ROA - Return on Assets Historical Data,Brown & Brown ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.47B,$8.97B,5.54%
2020-09-30,$0.44B,$8.80B,5.52%
2020-06-30,$0.43B,$8.20B,5.48%
2020-03-31,$0.42B,$7.58B,5.63%
2019-12-31,$0.39B,$7.62B,5.29%
2019-09-30,$0.38B,$7.68B,5.42%
2019-06-30,$0.38B,$7.17B,5.67%
2019-03-31,$0.36B,$6.81B,5.71%
2018-12-31,$0.34B,$6.69B,5.63%
2018-09-30,$0.45B,$5.80B,7.82%
2018-06-30,$0.42B,$5.70B,6.83%
2018-03-31,$0.41B,$5.62B,6.82%
2017-12-31,$0.39B,$5.75B,6.58%
2017-09-30,$0.26B,$7.41B,4.53%
2017-06-30,$0.26B,$5.28B,4.85%
2017-03-31,$0.26B,$5.20B,4.87%
2016-12-31,$0.25B,$5.26B,4.78%
2016-09-30,$0.25B,$5.52B,4.86%
2016-06-30,$0.25B,$5.21B,4.91%
2016-03-31,$0.24B,$4.99B,4.88%
2015-12-31,$0.24B,$5.00B,4.81%
2015-09-30,$0.21B,$5.00B,4.16%
2015-06-30,$0.21B,$5.02B,4.19%
2015-03-31,$0.21B,$4.84B,4.21%
2014-12-31,$0.20B,$4.96B,4.37%
2014-09-30,$0.22B,$4.95B,5.21%
2014-06-30,$0.21B,$4.93B,5.39%
2014-03-31,$0.20B,$3.67B,5.74%
2013-12-31,$0.21B,$3.65B,6.16%
2013-09-30,$0.21B,$3.56B,6.25%
2013-06-30,$0.20B,$3.33B,6.21%
2013-03-31,$0.19B,$3.23B,6.00%
2012-12-31,$0.18B,$3.13B,5.75%
2012-09-30,$0.17B,$3.14B,5.80%
2012-06-30,$0.17B,$3.10B,5.92%
2012-03-31,$0.16B,$3.02B,6.05%
2011-12-31,$0.16B,$2.61B,6.27%
2011-09-30,$0.16B,$2.56B,6.24%
2011-06-30,$0.16B,$2.53B,6.35%
2011-03-31,$0.16B,$2.44B,6.65%
2010-12-31,$0.16B,$2.40B,6.70%
2010-09-30,$0.15B,$2.39B,6.48%
2010-06-30,$0.15B,$2.34B,6.45%
2010-03-31,$0.15B,$2.25B,6.49%
2009-12-31,$0.15B,$2.22B,6.70%
2009-09-30,$0.15B,$2.24B,7.05%
2009-06-30,$0.15B,$2.23B,7.11%
2009-03-31,$0.15B,$2.15B,7.29%
2008-12-31,$0.16B,$2.12B,7.72%
2008-09-30,$0.16B,$2.11B,7.73%
2008-06-30,$0.16B,$2.07B,8.27%
2008-03-31,$0.18B,$1.99B,9.09%
2007-12-31,$0.18B,$1.96B,9.70%
2007-09-30,$0.20B,$1.92B,10.54%
2007-06-30,$0.19B,$1.89B,10.38%
2007-03-31,$0.18B,$1.83B,10.18%
2006-12-31,$0.17B,$1.81B,9.82%
2006-09-30,$0.17B,$1.80B,9.99%
2006-06-30,$0.17B,$1.72B,10.10%
2006-03-31,$0.16B,$1.68B,10.06%
2005-12-31,$0.15B,$1.61B,9.96%
