Date,Shares
2020-12-31,276
2020-09-30,277
2020-06-30,274
2020-03-31,275
2019-12-31,275
2019-09-30,275
2019-06-30,274
2019-03-31,275
2018-12-31,276
2018-09-30,275
2018-06-30,276
2018-03-31,276
2017-12-31,278
2017-09-30,278
2017-06-30,278
2017-03-31,278
2016-12-31,276
2016-09-30,276
2016-06-30,275
2016-03-31,274
2015-12-31,280
2015-09-30,280
2015-06-30,280
2015-03-31,283
2014-12-31,286
2014-09-30,286
2014-06-30,286
2014-03-31,287
2013-12-31,285
2013-09-30,286
2013-06-30,286
2013-03-31,286
2012-12-31,284
2012-09-30,284
2012-06-30,284
2012-03-31,283
2011-12-31,281
2011-09-30,281
2011-06-30,280
2011-03-31,281
2010-12-31,279
2010-09-30,279
2010-06-30,278
2010-03-31,276
2009-12-31,275
2009-09-30,275
2009-06-30,275
2009-03-31,274
2008-12-31,274
2008-09-30,274
2008-06-30,283
2008-03-31,283
2007-12-31,273
2007-09-30,283
2007-06-30,282
2007-03-31,282
2006-12-31,282
2006-09-30,282
2006-06-30,282
2006-03-31,282
2005-12-31,280
2005-09-30,279
2005-06-30,279
2005-03-31,279
