Blackstone Group Inc/The Debt/Equity Ratio Historical Data,Blackstone Group Inc/The Debt/Equity Ratio Historical Data,Blackstone Group Inc/The Debt/Equity Ratio Historical Data,Blackstone Group Inc/The Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$11.74B,$14.53B,0.81
2020-09-30,$11.61B,$13.44B,0.86
2020-06-30,$16.42B,$12.43B,1.32
2020-03-31,$15.44B,$11.51B,1.34
2019-12-31,$17.57B,$15.02B,1.17
2019-09-30,$17.85B,$14.54B,1.23
2019-06-30,$17.01B,$13.96B,1.22
2019-03-31,$15.87B,$14.01B,1.13
2018-12-31,$15.31B,$13.61B,1.13
2018-09-30,$15.91B,$14.55B,1.09
2018-06-30,$15.60B,$14.48B,1.08
2018-03-31,$14.62B,$13.32B,1.1
2017-12-31,$20.90B,$13.51B,1.55
2017-09-30,$18.50B,$13.26B,1.4
2017-06-30,$17.06B,$13.07B,1.31
2017-03-31,$15.42B,$12.91B,1.19
2016-12-31,$14.07B,$12.33B,1.14
2016-09-30,$12.25B,$12.16B,1.01
2016-06-30,$11.10B,$11.94B,0.93
2016-03-31,$10.32B,$11.73B,0.88
2015-12-31,$10.48B,$12.05B,0.87
2015-09-30,$11.13B,$12.49B,0.89
2015-06-30,$10.97B,$13.72B,0.8
2015-03-31,$16.96B,$15.44B,1.1
2014-12-31,$16.61B,$14.89B,1.12
2014-09-30,$16.57B,$13.95B,1.19
2014-06-30,$16.53B,$13.53B,1.22
2014-03-31,$17.43B,$12.60B,1.38
2013-12-31,$17.25B,$12.43B,1.39
2013-09-30,$17.65B,$10.39B,1.7
2013-06-30,$17.72B,$10.02B,1.77
2013-03-31,$18.25B,$9.73B,1.88
2012-12-31,$19.27B,$9.66B,2.0
2012-09-30,$18.41B,$9.39B,1.96
2012-06-30,$17.14B,$9.01B,1.9
2012-03-31,$17.14B,$9.41B,1.82
2011-12-31,$13.75B,$8.16B,1.69
2011-09-30,$14.22B,$7.85B,1.81
2011-06-30,$13.83B,$8.51B,1.63
2011-03-31,$11.49B,$7.76B,1.48
2010-12-31,$11.19B,$7.65B,1.46
2010-09-30,$10.67B,$7.07B,1.51
2010-06-30,$9.89B,$6.58B,1.5
2010-03-31,$7.04B,$6.45B,1.09
2009-12-31,$3.39B,$6.02B,0.56
2009-09-30,$3.31B,$5.42B,0.61
2009-06-30,$2.50B,$5.20B,0.48
2009-03-31,$2.51B,$5.16B,0.49
2008-12-31,$3.73B,$5.76B,0.65
2008-09-30,$8.14B,$3.81B,2.13
2008-06-30,$9.49B,$4.00B,2.37
2008-03-31,$9.07B,$4.15B,2.19
2007-12-31,$8.95B,$4.23B,2.12
2007-09-30,$8.65B,$4.32B,2.0
2007-06-30,$14.22B,$4.56B,3.12
2007-03-31,$0.00B,,0.0
2006-09-30,$0.00B,,0.0
2006-06-30,$0.00B,,0.0
