Date,EBIT
2020-12-31,"$2,063"
2020-09-30,"$1,740"
2020-06-30,"$1,383"
2020-03-31,"$-2,396"
2019-12-31,"$1,038"
2019-09-30,$841
2019-06-30,$668
2019-03-31,"$1,026"
2018-12-31,$55
2018-09-30,$950
2018-06-30,"$1,656"
2018-03-31,$825
2017-12-31,$989
2017-09-30,$872
2017-06-30,$696
2017-03-31,"$1,033"
2016-12-31,$786
2016-09-30,$695
2016-06-30,$517
2016-03-31,$352
2015-12-31,$379
2015-09-30,$-429
2015-06-30,$348
2015-03-31,"$1,401"
2014-12-31,"$1,233"
2014-09-30,$656
2014-06-30,"$1,198"
2014-03-31,$663
2013-12-31,"$1,407"
2013-09-30,$457
2013-06-30,$553
2013-03-31,$438
2012-12-31,$357
2012-09-30,$391
2012-06-30,$-99
2012-03-31,$183
2011-12-31,$60
2011-09-30,$-651
2011-06-30,$338
2011-03-31,$176
2010-12-31,$109
2010-09-30,$-130
2010-06-30,$-570
2010-03-31,$-392
2009-12-31,$-438
2009-09-30,$-496
2009-06-30,$-645
2009-03-31,$-876
2008-12-31,"$-1,595"
2008-09-30,"$-1,287"
2008-06-30,$-804
2008-03-31,"$-1,027"
2007-12-31,$-716
2007-09-30,$-522
2007-06-30,$490
2007-03-31,"$1,065"
2006-09-30,$336
2006-06-30,$198
