Date,EBITDA
2020-12-31,"$2,080"
2020-09-30,"$1,757"
2020-06-30,"$1,400"
2020-03-31,"$-2,378"
2019-12-31,"$1,056"
2019-09-30,$859
2019-06-30,$686
2019-03-31,"$1,043"
2018-12-31,$70
2018-09-30,$965
2018-06-30,"$1,670"
2018-03-31,$839
2017-12-31,"$1,003"
2017-09-30,$883
2017-06-30,$707
2017-03-31,"$1,044"
2016-12-31,$801
2016-09-30,$717
2016-06-30,$540
2016-03-31,$375
2015-12-31,$403
2015-09-30,$-399
2015-06-30,$372
2015-03-31,"$1,426"
2014-12-31,"$1,258"
2014-09-30,$681
2014-06-30,"$1,223"
2014-03-31,$690
2013-12-31,"$1,433"
2013-09-30,$481
2013-06-30,$574
2013-03-31,$461
2012-12-31,$381
2012-09-30,$421
2012-06-30,$-62
2012-03-31,$231
2011-12-31,$143
2011-09-30,$-609
2011-06-30,$379
2011-03-31,$217
2010-12-31,$150
2010-09-30,$-89
2010-06-30,$-529
2010-03-31,$-353
2009-12-31,$-399
2009-09-30,$-456
2009-06-30,$-606
2009-03-31,$-837
2008-12-31,"$-1,555"
2008-09-30,"$-1,248"
2008-06-30,$-764
2008-03-31,$-993
2007-12-31,$-661
2007-09-30,$-467
2007-06-30,$490
2007-03-31,"$1,065"
2006-09-30,$336
2006-06-30,$198
