Blackstone Group Inc/The Price/Book Ratio Historical Data,Blackstone Group Inc/The Price/Book Ratio Historical Data,Blackstone Group Inc/The Price/Book Ratio Historical Data,Blackstone Group Inc/The Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,76.9,,3.62
2020-12-31,63.94,$21.24,3.01
2020-09-30,51.01,$19.74,2.58
2020-06-30,54.98,$18.36,2.99
2020-03-31,43.88,$17.00,2.58
2019-12-31,53.35,$22.37,2.38
2019-09-30,46.16,$21.82,2.12
2019-06-30,41.57,$21.14,1.97
2019-03-31,32.43,$21.06,1.54
2018-12-31,27.18,$20.52,1.32
2018-09-30,34.72,$21.74,1.6
2018-06-30,28.86,$21.49,1.34
2018-03-31,28.34,$19.97,1.42
2017-12-31,27.69,$20.49,1.35
2017-09-30,28.48,$20.16,1.41
2017-06-30,28.01,$19.99,1.4
2017-03-31,24.27,$19.89,1.22
2016-12-31,21.75,$19.16,1.14
2016-09-30,20.2,$19.05,1.06
2016-06-30,19.16,$18.85,1.02
2016-03-31,21.68,$18.58,1.17
2015-12-31,22.09,$19.29,1.14
2015-09-30,23.15,$20.08,1.15
2015-06-30,29.33,$22.24,1.32
2015-03-31,27.31,$25.35,1.08
2014-12-31,23.26,$25.00,0.93
2014-09-30,21.33,$23.57,0.9
2014-06-30,22.31,$22.99,0.97
2014-03-31,21.94,$21.56,1.02
2013-12-31,20.41,$21.70,0.94
2013-09-30,15.99,$18.25,0.88
2013-06-30,13.4,$17.75,0.75
2013-03-31,12.4,$17.33,0.72
2012-12-31,9.55,$17.36,0.55
2012-09-30,8.69,$17.89,0.49
2012-06-30,7.89,$17.33,0.46
2012-03-31,9.55,$18.63,0.51
2011-12-31,8.28,$16.67,0.5
2011-09-30,7.03,$16.28,0.43
2011-06-30,9.64,$17.78,0.54
2011-03-31,10.35,$16.92,0.61
2010-12-31,8.04,$18.39,0.44
2010-09-30,7.16,$19.13,0.37
2010-06-30,5.34,$18.54,0.29
2010-03-31,7.76,$18.83,0.41
2009-12-31,7.13,$18.81,0.38
2009-09-30,7.55,$17.96,0.42
2009-06-30,5.48,$18.83,0.29
2009-03-31,3.67,$18.98,0.19
2008-12-31,3.31,$21.08,0.16
2008-09-30,7.41,$14.64,0.51
2008-06-30,8.64,$15.36,0.56
2008-03-31,7.42,$15.94,0.47
2007-12-31,10.14,$16.27,0.62
2007-09-30,11.33,$16.96,0.67
2007-06-30,13.22,$17.52,0.75
