Date,Shares
2020-12-31,697.0
2020-09-30,701.0
2020-06-30,1204.0
2020-03-31,676.0
2019-12-31,676.0
2019-09-30,676.0
2019-06-30,674.0
2019-03-31,1200.0
2018-12-31,543.0
2018-09-30,1206.0
2018-06-30,682.0
2018-03-31,1211.0
2017-12-31,676.0
2017-09-30,1201.0
2017-06-30,1200.0
2017-03-31,1200.0
2016-12-31,1195.0
2016-09-30,1196.0
2016-06-30,1194.0
2016-03-31,1194.0
2015-12-31,1188.0
2015-09-30,639.0
2015-06-30,634.0
2015-03-31,631.0
2014-12-31,613.0
2014-09-30,615.0
2014-06-30,610.0
2014-03-31,606.0
2013-12-31,591.0
2013-09-30,593.0
2013-06-30,587.0
2013-03-31,586.0
2012-12-31,539.0
2012-09-30,547.0
2012-06-30,529.0
2012-03-31,517.0
2011-12-31,476.0
2011-09-30,487.0
2011-06-30,484.0
2011-03-31,458.0
2010-12-31,364.0
2010-09-30,370.0
2010-06-30,354.0
2010-03-31,333.0
2009-12-31,289.0
2009-09-30,292.0
2009-06-30,276.0
2009-03-31,275.0
2008-12-31,137.0
2008-09-30,271.0
2008-06-30,264.0
2008-03-31,263.0
2007-12-31,262.0
2007-09-30,260.0
2007-06-30,
2007-03-31,
2006-09-30,
2006-06-30,
