BancorpSouth Bank Debt/Equity Ratio Historical Data,BancorpSouth Bank Debt/Equity Ratio Historical Data,BancorpSouth Bank Debt/Equity Ratio Historical Data,BancorpSouth Bank Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$20.89B,$2.78B,7.53
2020-09-30,$0.00B,,0.0
2020-06-30,$20.50B,$2.73B,7.5
2020-03-31,$18.35B,$2.68B,6.84
2019-12-31,$18.37B,$2.69B,6.84
2019-09-30,$17.36B,$2.49B,6.97
2019-06-30,$16.61B,$2.33B,7.14
2019-03-31,$16.09B,$2.23B,7.23
2018-12-31,$15.80B,$2.21B,7.16
2018-09-30,$15.13B,$2.12B,7.15
2018-06-30,$15.15B,$2.07B,7.31
2018-03-31,$15.13B,$2.06B,7.34
2017-12-31,$13.59B,$1.71B,7.93
2017-09-30,$13.06B,$1.70B,7.68
2017-06-30,$13.15B,$1.69B,7.77
2017-03-31,$13.16B,$1.70B,7.73
2016-12-31,$13.00B,$1.72B,7.54
2016-09-30,$12.89B,$1.72B,7.48
2016-06-30,$12.42B,$1.71B,7.25
2016-03-31,$12.25B,$1.68B,7.29
2015-12-31,$12.14B,$1.66B,7.34
2015-09-30,$12.14B,$1.65B,7.38
2015-06-30,$11.96B,$1.68B,7.12
2015-03-31,$11.99B,$1.65B,7.29
2014-12-31,$11.72B,$1.61B,7.3
2014-09-30,$11.46B,$1.61B,7.12
2014-06-30,$11.40B,$1.59B,7.17
2014-03-31,$11.59B,$1.56B,7.45
2013-12-31,$11.52B,$1.51B,7.61
2013-09-30,$11.44B,$1.48B,7.72
2013-06-30,$11.76B,$1.46B,8.06
2013-03-31,$11.93B,$1.47B,8.14
2012-12-31,$11.95B,$1.45B,8.25
2012-09-30,$11.79B,$1.45B,8.15
2012-06-30,$11.73B,$1.42B,8.27
2012-03-31,$11.92B,$1.39B,8.56
2011-12-31,$11.73B,$1.26B,9.29
2011-09-30,$11.93B,$1.27B,9.42
2011-06-30,$12.12B,$1.25B,9.72
2011-03-31,$12.34B,$1.21B,10.19
2010-12-31,$12.39B,$1.22B,10.14
2010-09-30,$12.35B,$1.24B,9.99
2010-06-30,$12.18B,$1.24B,9.82
2010-03-31,$11.97B,$1.27B,9.46
2009-12-31,$11.89B,$1.28B,9.32
2009-09-30,$11.99B,$1.29B,9.32
2009-06-30,$12.02B,$1.28B,9.43
2009-03-31,$12.20B,$1.26B,9.72
2008-12-31,$12.24B,$1.24B,9.87
2008-09-30,$12.06B,$1.24B,9.7
2008-06-30,$12.17B,$1.23B,9.86
2008-03-31,$11.93B,$1.22B,9.75
2007-12-31,$11.99B,$1.20B,10.02
2007-09-30,$11.97B,$1.17B,10.23
2007-06-30,$12.07B,$1.14B,10.58
2007-03-31,$11.84B,$1.13B,10.51
2006-12-31,$11.01B,$1.03B,10.73
2006-09-30,$10.83B,$1.03B,10.5
2006-06-30,$10.82B,$1.01B,10.73
2006-03-31,$10.89B,$1.00B,10.92
2005-12-31,$10.79B,$0.98B,11.04
2005-09-30,$10.12B,$0.94B,10.76
2005-06-30,$9.90B,$0.94B,10.57
2005-03-31,$9.91B,$0.92B,10.75
