Date,EPS
2020-12-31,$0.65
2020-09-30,$0.00
2020-06-30,$0.57
2020-03-31,$0.21
2019-12-31,$0.62
2019-09-30,$0.63
2019-06-30,$0.53
2019-03-31,$0.52
2018-12-31,$0.47
2018-09-30,$0.67
2018-06-30,$0.55
2018-03-31,$0.54
2017-12-31,$0.42
2017-09-30,$0.43
2017-06-30,$0.41
2017-03-31,$0.41
2016-12-31,$0.40
2016-09-30,$0.40
2016-06-30,$0.37
2016-03-31,$0.24
2015-12-31,$0.23
2015-09-30,$0.36
2015-06-30,$0.41
2015-03-31,$0.33
2014-12-31,$0.29
2014-09-30,$0.30
2014-06-30,$0.32
2014-03-31,$0.30
2013-12-31,$0.29
2013-09-30,$0.26
2013-06-30,$0.22
2013-03-31,$0.22
2012-12-31,$0.18
2012-09-30,$0.25
2012-06-30,$0.22
2012-03-31,$0.25
2011-12-31,$0.17
2011-09-30,$0.14
2011-06-30,$0.15
2011-03-31,$-0.01
2010-12-31,$0.19
2010-09-30,$0.13
2010-06-30,$-0.15
2010-03-31,$0.10
2009-12-31,$-0.03
2009-09-30,$0.26
2009-06-30,$0.41
2009-03-31,$0.35
2008-12-31,$0.19
2008-09-30,$0.34
2008-06-30,$0.49
2008-03-31,$0.43
2007-12-31,$0.40
2007-09-30,$0.44
2007-06-30,$0.43
2007-03-31,$0.42
2006-12-31,$0.35
2006-09-30,$0.30
2006-06-30,$0.45
2006-03-31,$0.47
2005-12-31,$0.45
2005-09-30,$0.29
2005-06-30,$0.33
2005-03-31,$0.40
