BancorpSouth Bank ROA - Return on Assets Historical Data,BancorpSouth Bank ROA - Return on Assets Historical Data,BancorpSouth Bank ROA - Return on Assets Historical Data,BancorpSouth Bank ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.15B,$23.66B,0.87%
2020-06-30,$0.21B,$23.24B,0.99%
2020-03-31,$0.21B,$21.03B,1.01%
2019-12-31,$0.24B,$21.05B,1.20%
2019-09-30,$0.22B,$19.85B,1.15%
2019-06-30,$0.22B,$18.94B,1.21%
2019-03-31,$0.22B,$18.31B,1.24%
2018-12-31,$0.22B,$18.00B,1.27%
2018-09-30,$0.21B,$17.25B,1.27%
2018-06-30,$0.19B,$17.22B,1.15%
2018-03-31,$0.17B,$17.19B,1.09%
2017-12-31,$0.15B,$15.30B,1.03%
2017-09-30,$0.15B,$14.76B,1.04%
2017-06-30,$0.15B,$14.84B,1.03%
2017-03-31,$0.15B,$14.87B,1.02%
2016-12-31,$0.13B,$14.72B,0.93%
2016-09-30,$0.12B,$14.61B,0.83%
2016-06-30,$0.11B,$14.14B,0.81%
2016-03-31,$0.12B,$13.93B,0.86%
2015-12-31,$0.13B,$13.80B,0.93%
2015-09-30,$0.14B,$13.79B,0.99%
2015-06-30,$0.13B,$13.64B,0.97%
2015-03-31,$0.12B,$13.63B,0.91%
2014-12-31,$0.12B,$13.33B,0.89%
2014-09-30,$0.12B,$13.07B,0.89%
2014-06-30,$0.11B,$12.99B,0.86%
2014-03-31,$0.10B,$13.14B,0.78%
2013-12-31,$0.10B,$13.03B,0.72%
2013-09-30,$0.08B,$12.92B,0.63%
2013-06-30,$0.08B,$13.22B,0.62%
2013-03-31,$0.08B,$13.39B,0.62%
2012-12-31,$0.09B,$13.40B,0.64%
2012-09-30,$0.08B,$13.24B,0.61%
2012-06-30,$0.07B,$13.15B,0.52%
2012-03-31,$0.06B,$13.31B,0.46%
2011-12-31,$0.04B,$13.00B,0.29%
2011-09-30,$0.04B,$13.20B,0.31%
2011-06-30,$0.04B,$13.37B,0.30%
2011-03-31,$0.01B,$13.55B,0.10%
2010-12-31,$0.02B,$13.62B,0.16%
2010-09-30,$0.00B,$13.58B,0.03%
2010-06-30,$0.02B,$13.42B,0.11%
2010-03-31,$0.06B,$13.23B,0.47%
2009-12-31,$0.08B,$13.17B,0.62%
2009-09-30,$0.10B,$13.27B,0.76%
2009-06-30,$0.11B,$13.30B,0.81%
2009-03-31,$0.11B,$13.46B,0.85%
2008-12-31,$0.12B,$13.48B,0.90%
2008-09-30,$0.14B,$13.30B,1.02%
2008-06-30,$0.14B,$13.40B,1.08%
2008-03-31,$0.14B,$13.16B,1.06%
2007-12-31,$0.14B,$13.19B,1.05%
2007-09-30,$0.13B,$13.13B,1.04%
2007-06-30,$0.12B,$13.21B,0.97%
2007-03-31,$0.12B,$12.96B,0.99%
2006-12-31,$0.13B,$12.04B,1.05%
2006-09-30,$0.13B,$11.86B,1.12%
2006-06-30,$0.13B,$11.83B,1.13%
2006-03-31,$0.12B,$11.89B,1.07%
2005-12-31,$0.12B,$11.77B,1.04%
