Citigroup Price/Book Ratio Historical Data,Citigroup Price/Book Ratio Historical Data,Citigroup Price/Book Ratio Historical Data,Citigroup Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,72.42,,0.75
2020-12-31,61.12,$96.15,0.64
2020-09-30,42.21,$93.47,0.45
2020-06-30,49.53,$92.37,0.54
2020-03-31,40.38,$92.70,0.44
2019-12-31,76.06,$91.74,0.83
2019-09-30,65.32,$90.27,0.72
2019-06-30,65.72,$87.70,0.75
2019-03-31,58.39,$85.20,0.69
2018-12-31,48.51,$83.21,0.58
2018-09-30,66.4,$81.02,0.82
2018-06-30,61.56,$79.86,0.77
2018-03-31,61.8,$79.56,0.78
2017-12-31,67.84,$78.47,0.86
2017-09-30,66.03,$86.47,0.76
2017-06-30,60.43,$84.82,0.71
2017-03-31,53.91,$83.23,0.65
2016-12-31,53.4,$81.57,0.65
2016-09-30,42.3,$81.65,0.52
2016-06-30,37.83,$80.20,0.47
2016-03-31,37.22,$77.94,0.48
2015-12-31,46.07,$75.54,0.61
2015-09-30,44.13,$74.57,0.59
2015-06-30,49.09,$73.37,0.67
2015-03-31,45.74,$71.20,0.64
2014-12-31,48.03,$70.01,0.69
2014-09-30,45.99,$70.60,0.65
2014-06-30,41.79,$70.29,0.59
2014-03-31,42.23,$69.21,0.61
2013-12-31,46.22,$68.05,0.68
2013-09-30,43.02,$66.84,0.64
2013-06-30,42.53,$65.05,0.65
2013-03-31,39.22,$64.20,0.61
2012-12-31,35.06,$63.06,0.56
2012-09-30,28.99,$64.36,0.45
2012-06-30,24.28,$63.37,0.38
2012-03-31,32.36,$62.66,0.52
2011-12-31,23.29,$61.42,0.38
2011-09-30,22.66,$61.34,0.37
2011-06-30,36.83,$61.22,0.6
2011-03-31,39.09,$59.37,0.66
2010-12-31,41.83,$57.05,0.73
2010-09-30,34.58,$56.86,0.61
2010-06-30,33.25,$54.30,0.61
2010-03-31,35.82,$53.73,0.67
2009-12-31,29.27,$54.41,0.54
2009-09-30,42.8,$62.52,0.68
2009-06-30,26.27,$279.91,0.09
2009-03-31,22.37,$264.70,0.08
2008-12-31,59.19,$264.26,0.22
2008-09-30,178.74,$231.33,0.77
2008-06-30,143.6,$250.50,0.57
2008-03-31,181.3,$244.23,0.74
2007-12-31,246.38,$227.14,1.08
2007-09-30,385.17,$255.19,1.51
2007-06-30,418.52,$256.82,1.63
2007-03-31,414.77,$246.81,1.68
2006-12-31,445.6,$243.86,1.83
2006-09-30,393.49,$239.87,1.64
2006-06-30,378.41,$233.47,1.62
2006-03-31,366.68,$230.16,1.59
