Date,Shares
2020-12-31,2086
2020-09-30,2094
2020-06-30,2084
2020-03-31,2114
2019-12-31,2249
2019-09-30,2237
2019-06-30,2289
2019-03-31,2342
2018-12-31,2493
2018-09-30,2481
2018-06-30,2532
2018-03-31,2563
2017-12-31,2699
2017-09-30,2684
2017-06-30,2739
2017-03-31,2766
2016-12-31,2888
2016-09-30,2880
2016-06-30,2916
2016-03-31,2943
2015-12-31,3008
2015-09-30,2997
2015-06-30,3025
2015-03-31,3039
2014-12-31,3037
2014-09-30,3035
2014-06-30,3038
2014-03-31,3043
2013-12-31,3042
2013-09-30,3041
2013-06-30,3046
2013-03-31,3045
2012-12-31,3016
2012-09-30,3015
2012-06-30,3015
2012-03-31,3015
2011-12-31,2999
2011-09-30,2999
2011-06-30,2997
2011-03-31,2997
2010-12-31,2968
2010-09-30,2978
2010-06-30,2975
2010-03-31,2933
2009-12-31,1210
2009-09-30,1222
2009-06-30,597
2009-03-31,595
2008-12-31,577
2008-09-30,583
2008-06-30,578
2008-03-31,558
2007-12-31,492
2007-09-30,501
2007-06-30,499
2007-03-31,497
2006-12-31,499
2006-09-30,498
2006-06-30,499
2006-03-31,501
2005-12-31,516
2005-09-30,515
2005-06-30,521
2005-03-31,523
