Date,EBIT
2020-12-31,$135
2020-09-30,$139
2020-06-30,$162
2020-03-31,$226
2019-12-31,$118
2019-09-30,$147
2019-06-30,$125
2019-03-31,$147
2018-12-31,$177
2018-09-30,$126
2018-06-30,$129
2018-03-31,$168
2017-12-31,$109
2017-09-30,$119
2017-06-30,$118
2017-03-31,$26
2016-12-31,$75
2016-09-30,$66
2016-06-30,$78
2016-03-31,$80
2015-12-31,$76
2015-09-30,$101
2015-06-30,$73
2015-03-31,$70
2014-12-31,$87
2014-09-30,$75
2014-06-30,$70
2014-03-31,$82
2013-12-31,$73
2013-09-30,$68
2013-06-30,$75
2013-03-31,$69
2012-12-31,$60
2012-09-30,$61
2012-06-30,$66
2012-03-31,$57
2011-12-31,$53
2011-09-30,$75
2011-06-30,$56
2011-03-31,$58
2010-12-31,$52
2010-09-30,$35
2010-06-30,$42
2010-03-31,$39
2009-12-31,$57
2009-09-30,$33
2009-06-30,$48
2009-03-31,$40
2008-12-31,
