Date,EBITDA
2020-12-31,$176
2020-09-30,$179
2020-06-30,$200
2020-03-31,$267
2019-12-31,$161
2019-09-30,$191
2019-06-30,$180
2019-03-31,$194
2018-12-31,$226
2018-09-30,$177
2018-06-30,$180
2018-03-31,$223
2017-12-31,$165
2017-09-30,$177
2017-06-30,$174
2017-03-31,$52
2016-12-31,$85
2016-09-30,$76
2016-06-30,$90
2016-03-31,$91
2015-12-31,$88
2015-09-30,$114
2015-06-30,$85
2015-03-31,$80
2014-12-31,$98
2014-09-30,$85
2014-06-30,$80
2014-03-31,$91
2013-12-31,$82
2013-09-30,$77
2013-06-30,$84
2013-03-31,$78
2012-12-31,$66
2012-09-30,$70
2012-06-30,$74
2012-03-31,$66
2011-12-31,$60
2011-09-30,$84
2011-06-30,$65
2011-03-31,$66
2010-12-31,$60
2010-09-30,$42
2010-06-30,$49
2010-03-31,$46
2009-12-31,$64
2009-09-30,$40
2009-06-30,$55
2009-03-31,$47
2008-12-31,
