Cboe Global Markets Price/Book Ratio Historical Data,Cboe Global Markets Price/Book Ratio Historical Data,Cboe Global Markets Price/Book Ratio Historical Data,Cboe Global Markets Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2018-09-14,104.2,,3.69
2018-09-30,104.2,$28.24,3.69
2018-06-30,103.75,$28.09,3.69
2018-03-31,113.44,$28.21,4.02
2017-12-31,123.57,$27.59,4.48
2017-09-30,106.51,$25.37,4.2
2017-06-30,90.21,$24.98,3.61
2017-03-31,79.78,$24.50,3.26
2016-12-31,72.49,$3.91,18.53
2016-09-30,63.39,$3.56,17.79
2016-06-30,64.88,$3.27,19.84
2016-03-31,63.4,$3.04,20.85
2015-12-31,62.75,$3.16,19.84
2015-09-30,64.64,$3.15,20.55
2015-06-30,54.94,$2.74,20.06
2015-03-31,54.92,$2.91,18.86
2014-12-31,60.47,$2.97,20.34
2014-09-30,50.86,$2.90,17.55
2014-06-30,46.57,$3.08,15.11
2014-03-31,53.38,$3.33,16.05
2013-12-31,48.84,$3.28,14.89
2013-09-30,41.97,$3.72,11.27
2013-06-30,43.11,$3.53,12.2
2013-03-31,34.02,$3.15,10.81
2012-12-31,27.02,$2.74,9.86
2012-09-30,26.16,$3.16,8.29
2012-06-30,24.5,$2.75,8.91
2012-03-31,25.04,$2.64,9.49
2011-12-31,22.68,$2.66,8.52
2011-09-30,21.37,$2.73,7.82
2011-06-30,21.38,$2.51,8.51
2011-03-31,25.08,$2.25,11.13
2010-12-31,19.72,$1.95,10.1
2010-09-30,17.35,$4.40,3.94
2010-06-30,27.83,$4.16,6.7
