Date,EPS
2020-12-31,$1.11
2020-09-30,$1.06
2020-06-30,$0.32
2020-03-31,$0.42
2019-12-31,$0.89
2019-09-30,$0.89
2019-06-30,$0.87
2019-03-31,$0.77
2018-12-31,$0.87
2018-09-30,$0.89
2018-06-30,$0.87
2018-03-31,$0.80
2017-12-31,$0.74
2017-09-30,$0.58
2017-06-30,$0.61
2017-03-31,$0.56
2016-12-31,$0.56
2016-09-30,$0.54
2016-06-30,$0.54
2016-03-31,$0.51
2015-12-31,$0.49
2015-09-30,$0.49
2015-06-30,$0.56
2015-03-31,$0.45
2014-12-31,$0.47
2014-09-30,$0.52
2014-06-30,$0.49
2014-03-31,$0.48
2013-12-31,$0.49
2013-09-30,$0.51
2013-06-30,$0.49
2013-03-31,$0.45
2012-12-31,$0.49
2012-09-30,$0.48
2012-06-30,$0.51
2012-03-31,$0.47
2011-12-31,$0.45
2011-09-30,$0.46
2011-06-30,$0.48
2011-03-31,$0.43
2010-12-31,$0.44
2010-09-30,$0.39
2010-06-30,$0.42
2010-03-31,$0.31
2009-12-31,$0.35
2009-09-30,$0.37
2009-06-30,$0.27
2009-03-31,$0.22
2008-12-31,$0.32
2008-09-30,$0.18
2008-06-30,$0.41
2008-03-31,$0.47
2007-12-31,$0.32
2007-09-30,$0.41
2007-06-30,$0.40
2007-03-31,$0.37
2006-12-31,$0.40
2006-09-30,$0.39
2006-06-30,$0.39
2006-03-31,$0.37
2005-12-31,$0.39
2005-09-30,$0.43
2005-06-30,$0.37
2005-03-31,$0.33
