Date,EPS
2020-12-31,$0.98
2020-09-30,$0.68
2020-06-30,$0.53
2020-03-31,$0.03
2019-12-31,$0.97
2019-09-30,$0.97
2019-06-30,$0.95
2019-03-31,$0.92
2018-12-31,$0.95
2018-09-30,$0.91
2018-06-30,$0.88
2018-03-31,$0.78
2017-12-31,$1.33
2017-09-30,$0.68
2017-06-30,$0.63
2017-03-31,$0.61
2016-12-31,$0.54
2016-09-30,$0.56
2016-06-30,$0.46
2016-03-31,$0.41
2015-12-31,$0.42
2015-09-30,$0.40
2015-06-30,$0.35
2015-03-31,$0.38
2014-12-31,$0.35
2014-09-30,$0.34
2014-06-30,$0.56
2014-03-31,$0.30
2013-12-31,$0.00
2013-09-30,$0.26
2013-06-30,$0.00
2012-12-31,$0.00
2011-12-31,$0.00
