Citizens Financial Price/Book Ratio Historical Data,Citizens Financial Price/Book Ratio Historical Data,Citizens Financial Price/Book Ratio Historical Data,Citizens Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,45.37,,0.85
2020-12-31,35.4,$53.07,0.67
2020-09-30,24.66,$52.61,0.47
2020-06-30,24.23,$52.52,0.46
2020-03-31,17.75,$51.45,0.34
2019-12-31,37.93,$51.26,0.74
2019-09-30,32.71,$49.22,0.66
2019-06-30,32.39,$48.08,0.67
2019-03-31,29.51,$46.69,0.63
2018-12-31,26.74,$44.67,0.6
2018-09-30,34.44,$42.77,0.81
2018-06-30,34.5,$42.28,0.82
2018-03-31,37.03,$41.14,0.9
2017-12-31,36.86,$41.30,0.89
2017-09-30,33.09,$40.26,0.82
2017-06-30,31.02,$39.66,0.78
2017-03-31,29.92,$38.95,0.77
2016-12-31,30.74,$38.57,0.8
2016-09-30,21.22,$38.95,0.54
2016-06-30,17.07,$38.23,0.45
2016-03-31,17.8,$37.75,0.47
2015-12-31,22.15,$37.22,0.59
2015-09-30,20.09,$37.15,0.54
2015-06-30,22.91,$36.46,0.63
2015-03-31,20.17,$35.73,0.56
2014-12-31,20.69,$35.30,0.59
2014-09-30,19.41,$34.61,0.56
