Cullen/Frost Bankers ROA - Return on Assets Historical Data,Cullen/Frost Bankers ROA - Return on Assets Historical Data,Cullen/Frost Bankers ROA - Return on Assets Historical Data,Cullen/Frost Bankers ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.32B,$42.39B,0.83%
2020-09-30,$0.34B,$40.10B,0.91%
2020-06-30,$0.35B,$39.38B,1.00%
2020-03-31,$0.37B,$34.15B,1.11%
2019-12-31,$0.44B,$34.03B,1.34%
2019-09-30,$0.45B,$33.10B,1.41%
2019-06-30,$0.46B,$31.82B,1.44%
2019-03-31,$0.46B,$31.67B,1.45%
2018-12-31,$0.45B,$32.29B,1.42%
2018-09-30,$0.43B,$31.22B,1.36%
2018-06-30,$0.40B,$30.69B,1.28%
2018-03-31,$0.38B,$31.46B,1.21%
2017-12-31,$0.35B,$31.75B,1.15%
2017-09-30,$0.34B,$30.99B,1.11%
2017-06-30,$0.33B,$30.21B,1.08%
2017-03-31,$0.31B,$30.53B,1.04%
2016-12-31,$0.30B,$30.20B,1.01%
2016-09-30,$0.27B,$29.60B,0.93%
2016-06-30,$0.27B,$28.98B,0.93%
2016-03-31,$0.27B,$28.40B,0.94%
2015-12-31,$0.27B,$28.57B,0.96%
2015-09-30,$0.29B,$28.34B,1.01%
2015-06-30,$0.29B,$27.78B,1.03%
2015-03-31,$0.28B,$28.16B,1.02%
2014-12-31,$0.27B,$28.28B,1.01%
2014-09-30,$0.26B,$27.37B,1.01%
2014-06-30,$0.24B,$26.52B,0.98%
2014-03-31,$0.24B,$24.69B,0.99%
2013-12-31,$0.23B,$24.31B,0.99%
2013-09-30,$0.23B,$23.53B,1.01%
2013-06-30,$0.23B,$22.57B,1.03%
2013-03-31,$0.23B,$22.50B,1.05%
2012-12-31,$0.24B,$23.12B,1.10%
2012-09-30,$0.23B,$21.85B,1.11%
2012-06-30,$0.23B,$20.87B,1.13%
2012-03-31,$0.23B,$20.42B,1.15%
2011-12-31,$0.22B,$20.32B,1.14%
2011-09-30,$0.22B,$19.49B,1.18%
2011-06-30,$0.22B,$18.48B,1.20%
2011-03-31,$0.21B,$17.94B,1.21%
2010-12-31,$0.21B,$17.62B,1.21%
2010-09-30,$0.21B,$17.74B,1.22%
2010-06-30,$0.20B,$17.06B,1.19%
2010-03-31,$0.18B,$16.76B,1.12%
2009-12-31,$0.18B,$16.29B,1.13%
2009-09-30,$0.18B,$16.16B,1.16%
2009-06-30,$0.19B,$15.79B,1.23%
2009-03-31,$0.20B,$15.33B,1.38%
2008-12-31,$0.21B,$15.03B,1.47%
2008-09-30,$0.21B,$14.06B,1.53%
2008-06-30,$0.22B,$13.67B,1.60%
2008-03-31,$0.22B,$13.79B,1.63%
2007-12-31,$0.21B,$13.49B,1.61%
2007-09-30,$0.21B,$13.17B,1.56%
2007-06-30,$0.20B,$12.95B,1.56%
2007-03-31,$0.19B,$13.18B,1.57%
2006-12-31,$0.19B,$13.22B,1.62%
2006-09-30,$0.19B,$11.65B,1.65%
2006-06-30,$0.18B,$11.40B,1.63%
2006-03-31,$0.18B,$11.58B,1.61%
2005-12-31,$0.17B,$11.74B,1.58%
