Carlyle Group Debt/Equity Ratio Historical Data,Carlyle Group Debt/Equity Ratio Historical Data,Carlyle Group Debt/Equity Ratio Historical Data,Carlyle Group Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$12.72B,$2.93B,4.34
2020-09-30,$11.77B,$2.43B,4.84
2020-06-30,$10.18B,$2.14B,4.75
2020-03-31,$10.02B,$2.07B,4.84
2019-12-31,$10.84B,$2.97B,3.65
2019-09-30,$10.63B,$3.30B,3.23
2019-06-30,$9.78B,$3.62B,2.7
2019-03-31,$9.11B,$3.14B,2.9
2018-12-31,$10.08B,$2.84B,3.55
2018-09-30,$10.36B,$3.08B,3.36
2018-06-30,$10.17B,$3.12B,3.26
2018-03-31,$9.90B,$3.04B,3.25
2017-12-31,$9.33B,$2.95B,3.16
2017-09-30,$8.92B,$2.77B,3.22
2017-06-30,$8.74B,$2.12B,4.12
2017-03-31,$8.60B,$1.78B,4.84
2016-12-31,$8.52B,$1.45B,5.86
2016-09-30,$7.93B,$1.57B,5.05
2016-06-30,$7.81B,$1.78B,4.38
2016-03-31,$7.05B,$1.73B,4.08
2015-12-31,$26.10B,$6.08B,4.3
2015-09-30,$26.10B,$6.70B,3.9
2015-06-30,$26.66B,$7.74B,3.45
2015-03-31,$26.86B,$8.16B,3.29
2014-12-31,$26.90B,$9.10B,2.96
2014-09-30,$27.77B,$9.90B,2.81
2014-06-30,$27.48B,$10.04B,2.74
2014-03-31,$26.43B,$9.92B,2.67
2013-12-31,$25.25B,$10.38B,2.43
2013-09-30,$24.35B,$9.56B,2.55
2013-06-30,$23.92B,$9.87B,2.42
2013-03-31,$22.59B,$10.06B,2.25
2012-12-31,$20.87B,$10.70B,1.95
2012-09-30,$19.35B,$10.70B,1.81
2012-06-30,$18.85B,$10.74B,1.76
2012-03-31,$19.34B,$9.85B,1.96
2011-12-31,$15.49B,$9.17B,1.69
2011-09-30,$15.85B,$9.59B,1.65
2011-06-30,$15.48B,$2.21B,7.0
2011-03-31,$0.00B,$0.00B,0.0
2010-12-31,$0.00B,,0.0
2010-09-30,$0.00B,$0.00B,0.0
2010-06-30,$0.00B,$0.00B,0.0
2009-12-31,$1.80B,$0.71B,2.52
2008-12-31,$0.00B,$0.00B,0.0
