Date,EBITDA
2020-12-31,$755
2020-09-30,$464
2020-06-30,$285
2020-03-31,$-594
2019-12-31,$52
2019-09-30,$334
2019-06-30,$594
2019-03-31,$557
2018-12-31,$4
2018-09-30,$143
2018-06-30,$315
2018-03-31,$188
2017-12-31,$447
2017-09-30,$277
2017-06-30,$327
2017-03-31,$500
2016-12-31,$127
2016-09-30,$94
2016-06-30,$177
2016-03-31,$104
2015-12-31,$237
2015-09-30,$54
2015-06-30,$340
2015-03-31,$472
2014-12-31,$323
2014-09-30,$380
2014-06-30,$436
2014-03-31,$432
2013-12-31,$737
2013-09-30,$357
2013-06-30,$242
2013-03-31,$545
2012-12-31,$322
2012-09-30,$388
2012-06-30,$10
2012-03-31,$853
2011-12-31,$607
2011-09-30,$-139
2011-06-30,$550
2011-03-31,"$1,079"
2010-12-31,
2010-09-30,"$1,158"
2010-06-30,$685
2009-12-31,
2008-12-31,
