Date,EPS
2020-12-31,$6.43
2020-09-30,$2.99
2020-06-30,$5.63
2020-03-31,$-7.56
2019-12-31,$3.80
2019-09-30,$1.49
2019-06-30,$2.59
2019-03-31,$4.22
2018-12-31,$-2.76
2018-09-30,$3.38
2018-06-30,$1.32
2018-03-31,$-0.19
2017-12-31,$3.87
2017-09-30,$0.61
2017-06-30,$0.60
2017-03-31,$1.21
2016-12-31,$0.60
2016-09-30,$1.08
2016-06-30,$0.74
2016-03-31,$1.13
2015-12-31,$0.95
2015-09-30,$1.05
2015-06-30,$1.06
2015-03-31,$0.77
2014-12-31,$1.01
2014-09-30,$1.11
2014-06-30,$0.51
2014-03-31,$0.55
2013-12-31,$0.73
2013-09-30,$0.79
2013-06-30,$0.66
2013-03-31,$0.94
2012-12-31,$1.16
2012-09-30,$0.68
2012-06-30,$0.20
2012-03-31,$0.53
2011-12-31,$0.82
2011-09-30,$0.12
2011-06-30,$-0.31
2011-03-31,$0.38
2010-12-31,$0.76
2010-09-30,$0.95
2010-06-30,$0.17
2010-03-31,$0.42
2009-12-31,$1.50
2009-09-30,$1.05
2009-06-30,$-0.12
2009-03-31,$0.22
2008-12-31,$1.00
2008-09-30,$1.50
2008-06-30,$0.38
2008-03-31,$-0.26
2007-12-31,$1.12
2007-09-30,$0.72
2007-06-30,$2.02
2007-03-31,$1.11
2006-12-31,$0.75
2006-09-30,$0.66
2006-06-30,$0.76
2006-03-31,$3.13
2005-12-31,$1.04
2005-09-30,$0.66
2005-06-30,$0.89
2005-03-31,$0.81
