Cincinnati Financial ROA - Return on Assets Historical Data,Cincinnati Financial ROA - Return on Assets Historical Data,Cincinnati Financial ROA - Return on Assets Historical Data,Cincinnati Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$1.22B,$27.54B,4.73%
2020-09-30,$0.79B,$26.37B,3.15%
2020-06-30,$0.56B,$25.45B,2.25%
2020-03-31,$0.08B,$23.37B,0.31%
2019-12-31,$2.00B,$25.41B,8.16%
2019-09-30,$0.92B,$24.74B,3.90%
2019-06-30,$1.22B,$24.34B,5.32%
2019-03-31,$1.01B,$23.35B,4.53%
2018-12-31,$0.29B,$21.94B,1.31%
2018-09-30,$1.38B,$22.48B,6.31%
2018-06-30,$0.93B,$21.76B,4.29%
2018-03-31,$0.81B,$21.47B,3.78%
2017-12-31,$1.05B,$21.84B,4.89%
2017-09-30,$0.50B,$21.59B,2.40%
2017-06-30,$0.58B,$21.24B,2.81%
2017-03-31,$0.60B,$20.75B,2.96%
2016-12-31,$0.59B,$20.39B,2.94%
2016-09-30,$0.65B,$20.46B,3.28%
2016-06-30,$0.64B,$20.15B,3.32%
2016-03-31,$0.69B,$19.45B,3.65%
2015-12-31,$0.63B,$18.89B,3.36%
2015-09-30,$0.65B,$18.75B,3.43%
2015-06-30,$0.65B,$18.89B,3.49%
2015-03-31,$0.56B,$18.90B,3.02%
2014-12-31,$0.53B,$18.75B,2.86%
2014-09-30,$0.48B,$18.47B,2.65%
2014-06-30,$0.43B,$18.34B,2.40%
2014-03-31,$0.45B,$17.94B,2.60%
2013-12-31,$0.52B,$17.66B,2.99%
2013-09-30,$0.59B,$17.34B,3.46%
2013-06-30,$0.57B,$17.03B,3.38%
2013-03-31,$0.49B,$17.04B,2.96%
2012-12-31,$0.42B,$16.55B,2.59%
2012-09-30,$0.36B,$16.48B,2.26%
2012-06-30,$0.27B,$16.09B,1.72%
2012-03-31,$0.19B,$16.02B,1.20%
2011-12-31,$0.16B,$15.64B,1.06%
2011-09-30,$0.15B,$15.41B,1.00%
2011-06-30,$0.29B,$15.70B,1.90%
2011-03-31,$0.37B,$15.37B,2.45%
2010-12-31,$0.38B,$15.10B,2.53%
2010-09-30,$0.50B,$15.07B,3.38%
2010-06-30,$0.51B,$14.61B,3.53%
2010-03-31,$0.47B,$14.62B,3.27%
2009-12-31,$0.43B,$14.44B,3.13%
2009-09-30,$0.35B,$14.23B,2.57%
2009-06-30,$0.42B,$13.52B,3.12%
2009-03-31,$0.51B,$13.11B,3.64%
2008-12-31,$0.43B,$13.37B,2.94%
2008-09-30,$0.45B,$14.30B,2.94%
2008-06-30,$0.33B,$14.81B,2.04%
2008-03-31,$0.62B,$15.95B,3.62%
2007-12-31,$0.86B,$16.64B,4.83%
2007-09-30,$0.80B,$17.62B,4.49%
2007-06-30,$0.79B,$18.26B,4.43%
2007-03-31,$0.57B,$18.22B,3.27%
2006-12-31,$0.93B,$17.22B,5.42%
2006-09-30,$0.98B,$17.67B,5.83%
2006-06-30,$0.98B,$16.94B,5.99%
2006-03-31,$1.01B,$16.76B,6.24%
2005-12-31,$0.60B,$16.00B,3.77%
