Date,EPS
2020-12-31,$1.49
2020-09-30,$1.44
2020-06-30,$0.80
2020-03-31,$-0.46
2019-12-31,$1.86
2019-09-30,$1.96
2019-06-30,$1.94
2019-03-31,$2.11
2018-12-31,$1.88
2018-09-30,$1.86
2018-06-30,$1.87
2018-03-31,$1.59
2017-12-31,$0.64
2017-09-30,$1.26
2017-06-30,$1.13
2017-03-31,$1.11
2016-12-31,$0.92
2016-09-30,$0.84
2016-06-30,$0.58
2016-03-31,$0.34
2015-12-31,$0.64
2015-09-30,$0.74
2015-06-30,$0.73
2015-03-31,$0.73
2014-12-31,$0.81
2014-09-30,$0.82
2014-06-30,$0.80
2014-03-31,$0.73
2013-12-31,$0.61
2013-09-30,$0.78
2013-06-30,$0.76
2013-03-31,$0.70
2012-12-31,$0.67
2012-09-30,$0.61
2012-06-30,$0.73
2012-03-31,$0.66
2011-12-31,$0.48
2011-09-30,$0.51
2011-06-30,$0.53
2011-03-31,$0.57
2010-12-31,$0.62
2010-09-30,$0.33
2010-06-30,$0.39
2010-03-31,$-0.46
2009-12-31,$-0.42
2009-09-30,$-0.10
2009-06-30,$-0.11
2009-03-31,$-0.16
2008-12-31,$-0.01
2008-09-30,$0.19
2008-06-30,$0.37
2008-03-31,$0.73
2007-12-31,$0.81
2007-09-30,$1.18
2007-06-30,$1.25
2007-03-31,$1.19
2006-12-31,$1.86
2006-09-30,$1.23
2006-06-30,$1.22
2006-03-31,$1.18
2005-12-31,$1.26
2005-09-30,$1.41
2005-06-30,$1.28
2005-03-31,$1.16
