Comerica Price/Book Ratio Historical Data,Comerica Price/Book Ratio Historical Data,Comerica Price/Book Ratio Historical Data,Comerica Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,71.49,,1.24
2020-12-31,55.33,$57.84,0.96
2020-09-30,37.4,$56.62,0.66
2020-06-30,36.64,$56.11,0.65
2020-03-31,27.74,$53.24,0.52
2019-12-31,66.53,$51.56,1.29
2019-09-30,60.63,$49.95,1.21
2019-06-30,66.05,$48.89,1.35
2019-03-31,66.04,$47.67,1.39
2018-12-31,61.37,$46.89,1.31
2018-09-30,79.89,$46.92,1.7
2018-06-30,80.01,$47.27,1.69
2018-03-31,84.12,$46.38,1.81
2017-12-31,75.89,$46.07,1.65
2017-09-30,66.43,$46.09,1.44
2017-06-30,63.52,$45.39,1.4
2017-03-31,59.27,$44.69,1.33
2016-12-31,58.68,$44.47,1.32
2016-09-30,40.63,$44.91,0.9
2016-06-30,35.14,$44.24,0.79
2016-03-31,32.19,$43.66,0.74
2015-12-31,35.36,$43.03,0.82
2015-09-30,34.57,$43.02,0.8
2015-06-30,42.95,$42.18,1.02
2015-03-31,37.62,$42.12,0.89
2014-12-31,38.87,$41.35,0.94
2014-09-30,41.2,$41.26,1.0
2014-06-30,41.28,$40.72,1.01
2014-03-31,42.46,$40.09,1.06
2013-12-31,38.82,$39.22,0.99
2013-09-30,31.98,$37.94,0.84
2013-06-30,32.27,$37.32,0.86
2013-03-31,28.99,$37.41,0.78
2012-12-31,24.36,$36.87,0.66
2012-09-30,24.8,$37.02,0.67
2012-06-30,24.41,$36.18,0.67
2012-03-31,25.59,$35.43,0.72
2011-12-31,20.34,$34.80,0.58
2011-09-30,18.04,$34.94,0.52
2011-06-30,27.03,$34.15,0.79
2011-03-31,28.63,$33.25,0.86
2010-12-31,32.85,$32.81,1.0
2010-09-30,28.82,$33.19,0.87
2010-06-30,28.53,$32.85,0.87
2010-03-31,29.43,$32.15,0.92
2009-12-31,22.85,$46.49,0.49
2009-09-30,22.88,$46.55,0.49
2009-06-30,16.28,$46.94,0.35
2009-03-31,14.07,$47.52,0.3
2008-12-31,15.2,$47.52,0.32
2008-09-30,24.68,$33.89,0.73
2008-06-30,18.89,$33.78,0.56
2008-03-31,25.34,$34.93,0.73
2007-12-31,30.9,$34.12,0.91
2007-09-30,35.86,$33.56,1.07
2007-06-30,41.09,$32.74,1.26
2007-03-31,40.43,$32.78,1.23
2006-12-31,39.69,$32.70,1.21
2006-09-30,38.11,$32.79,1.16
2006-06-30,34.45,$31.99,1.08
2006-03-31,38.0,$31.39,1.21
