Date,EBIT
2020-12-31,$515
2020-09-30,$525
2020-06-30,$638
2020-03-31,$960
2019-12-31,$573
2019-09-30,$685
2019-06-30,$699
2019-03-31,$631
2018-12-31,$650
2018-09-30,$550
2018-06-30,$667
2018-03-31,$741
2017-12-31,$537
2017-09-30,$568
2017-06-30,$605
2017-03-31,$601
2016-12-31,$538
2016-09-30,$525
2016-06-30,$563
2016-03-31,$574
2015-12-31,$470
2015-09-30,$516
2015-06-30,$495
2015-03-31,$507
2014-12-31,$472
2014-09-30,$430
2014-06-30,$412
2014-03-31,$455
2013-12-31,$323
2013-09-30,$401
2013-06-30,$508
2013-03-31,$406
2012-12-31,$376
2012-09-30,$396
2012-06-30,$469
2012-03-31,$451
2011-12-31,$390
2011-09-30,$572
2011-06-30,$535
2011-03-31,$524
2010-12-31,$458
2010-09-30,$443
2010-06-30,$515
2010-03-31,$415
2009-12-31,$403
2009-09-30,$401
2009-06-30,$399
2009-03-31,$386
2008-12-31,$418
2008-09-30,$421
2008-06-30,$344
2008-03-31,$400
2007-12-31,$314
2007-09-30,$345
2007-06-30,$192
2007-03-31,$201
2006-12-31,$159
2006-09-30,$157
2006-06-30,$167
2006-03-31,$139
2005-12-31,$81
2005-09-30,$120
2005-06-30,$149
2005-03-31,$128
