Date,EBITDA
2020-12-31,$636
2020-09-30,$643
2020-06-30,$751
2020-03-31,"$1,073"
2019-12-31,$689
2019-09-30,$806
2019-06-30,$821
2019-03-31,$745
2018-12-31,$742
2018-09-30,$604
2018-06-30,$718
2018-03-31,$793
2017-12-31,$589
2017-09-30,$618
2017-06-30,$658
2017-03-31,$654
2016-12-31,$596
2016-09-30,$581
2016-06-30,$618
2016-03-31,$632
2015-12-31,$526
2015-09-30,$574
2015-06-30,$553
2015-03-31,$564
2014-12-31,$528
2014-09-30,$488
2014-06-30,$472
2014-03-31,$514
2013-12-31,$383
2013-09-30,$461
2013-06-30,$567
2013-03-31,$464
2012-12-31,$435
2012-09-30,$457
2012-06-30,$534
2012-03-31,$519
2011-12-31,$453
2011-09-30,$638
2011-06-30,$600
2011-03-31,$590
2010-12-31,$544
2010-09-30,$510
2010-06-30,$582
2010-03-31,$479
2009-12-31,$467
2009-09-30,$466
2009-06-30,$461
2009-03-31,$460
2008-12-31,$494
2008-09-30,$501
2008-06-30,$397
2008-03-31,$450
2007-12-31,$366
2007-09-30,$395
2007-06-30,$213
2007-03-31,$221
2006-12-31,$179
2006-09-30,$176
2006-06-30,$185
2006-03-31,$157
2005-12-31,$122
2005-09-30,$138
2005-06-30,$166
2005-03-31,$143
