CNA Financial Debt/Equity Ratio Historical Data,CNA Financial Debt/Equity Ratio Historical Data,CNA Financial Debt/Equity Ratio Historical Data,CNA Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$51.32B,$12.71B,4.04
2020-09-30,$50.75B,$12.02B,4.22
2020-06-30,$50.45B,$11.65B,4.33
2020-03-31,$48.04B,$10.36B,4.64
2019-12-31,$48.40B,$12.22B,3.96
2019-09-30,$48.33B,$12.12B,3.99
2019-06-30,$47.88B,$12.09B,3.96
2019-03-31,$47.02B,$11.46B,4.11
2018-12-31,$45.94B,$11.22B,4.1
2018-09-30,$45.75B,$11.51B,3.98
2018-06-30,$46.44B,$11.42B,4.07
2018-03-31,$46.22B,$11.43B,4.05
2017-12-31,$44.32B,$12.24B,3.62
2017-09-30,$44.41B,$12.17B,3.65
2017-06-30,$44.18B,$12.03B,3.67
2017-03-31,$43.51B,$11.69B,3.72
2016-12-31,$43.26B,$11.97B,3.62
2016-09-30,$44.66B,$12.20B,3.66
2016-06-30,$45.02B,$11.89B,3.79
2016-03-31,$44.03B,$11.47B,3.84
2015-12-31,$43.29B,$11.76B,3.68
2015-09-30,$42.55B,$12.27B,3.47
2015-06-30,$42.79B,$12.23B,3.5
2015-03-31,$43.03B,$12.44B,3.46
2014-12-31,$42.77B,$12.79B,3.34
2014-09-30,$42.70B,$13.03B,3.28
2014-06-30,$46.36B,$13.07B,3.55
2014-03-31,$45.64B,$12.58B,3.63
2013-12-31,$44.54B,$12.65B,3.52
2013-09-30,$45.03B,$12.15B,3.71
2013-06-30,$45.62B,$11.94B,3.82
2013-03-31,$46.32B,$12.41B,3.73
2012-12-31,$46.21B,$12.31B,3.75
2012-09-30,$45.95B,$12.66B,3.63
2012-06-30,$44.29B,$12.21B,3.63
2012-03-31,$44.03B,$11.98B,3.68
2011-12-31,$43.62B,$11.49B,3.8
2011-09-30,$43.89B,$11.96B,3.67
2011-06-30,$44.03B,$11.75B,3.75
2011-03-31,$43.72B,$11.82B,3.7
2010-12-31,$43.81B,$11.52B,3.8
2010-09-30,$44.32B,$12.57B,3.53
2010-06-30,$43.27B,$12.41B,3.49
2010-03-31,$43.96B,$11.72B,3.75
2009-12-31,$44.13B,$11.17B,3.95
2009-09-30,$44.32B,$11.26B,3.94
2009-06-30,$44.48B,$9.11B,4.88
2009-03-31,$44.29B,$7.49B,5.91
2008-12-31,$44.39B,$7.30B,6.08
2008-09-30,$45.97B,$7.74B,5.94
2008-06-30,$45.84B,$9.35B,4.9
2008-03-31,$47.06B,$9.36B,5.03
2007-12-31,$46.61B,$10.15B,4.59
2007-09-30,$50.00B,$10.12B,4.94
2007-06-30,$50.73B,$10.01B,5.07
2007-03-31,$51.47B,$10.14B,5.08
2006-12-31,$50.52B,$9.77B,5.17
2006-09-30,$51.23B,$9.33B,5.49
2006-06-30,$49.98B,$8.94B,5.59
2006-03-31,$50.74B,$8.94B,5.68
2005-12-31,$50.07B,$8.95B,5.59
2005-09-30,$54.58B,$9.39B,5.81
2005-06-30,$52.88B,$9.74B,5.43
2005-03-31,$53.94B,$9.05B,5.96
