Date,EBITDA
2020-12-31,$504
2020-09-30,$278
2020-06-30,$211
2020-03-31,$-57
2019-12-31,$357
2019-09-30,$158
2019-06-30,$371
2019-03-31,$447
2018-12-31,$-82
2018-09-30,$436
2018-06-30,$371
2018-03-31,$386
2017-12-31,$459
2017-09-30,$242
2017-06-30,$423
2017-03-31,$395
2016-12-31,$367
2016-09-30,$525
2016-06-30,$338
2016-03-31,$116
2015-12-31,$-67
2015-09-30,$291
2015-06-30,$210
2015-03-31,$371
2014-12-31,$335
2014-09-30,$360
2014-06-30,$433
2014-03-31,$361
2013-12-31,$344
2013-09-30,$429
2013-06-30,$332
2013-03-31,$414
2012-12-31,$23
2012-09-30,$391
2012-06-30,$282
2012-03-31,$403
2011-12-31,$286
2011-09-30,$178
2011-06-30,$222
2011-03-31,$375
2010-12-31,$505
2010-09-30,$-133
2010-06-30,$477
2010-03-31,$381
2009-12-31,$384
2009-09-30,$387
2009-06-30,$126
2009-03-31,$-341
2008-12-31,$-542
2008-09-30,$-569
2008-06-30,$232
2008-03-31,$251
2007-12-31,$208
2007-09-30,$236
2007-06-30,$303
2007-03-31,$427
2006-12-31,$486
2006-09-30,$436
2006-06-30,$288
2006-03-31,$332
2005-12-31,$-404
2005-09-30,$-24
2005-06-30,$345
2005-03-31,$270
