Date,EPS
2020-12-31,$1.42
2020-09-30,$0.79
2020-06-30,$0.55
2020-03-31,$-0.23
2019-12-31,$1.01
2019-09-30,$0.39
2019-06-30,$1.02
2019-03-31,$1.25
2018-12-31,$-0.31
2018-09-30,$1.23
2018-06-30,$0.99
2018-03-31,$1.07
2017-12-31,$0.81
2017-09-30,$0.53
2017-06-30,$1.00
2017-03-31,$0.96
2016-12-31,$0.90
2016-09-30,$1.26
2016-06-30,$0.77
2016-03-31,$0.24
2015-12-31,$-0.26
2015-09-30,$0.66
2015-06-30,$0.51
2015-03-31,$0.86
2014-12-31,$0.73
2014-09-30,$0.79
2014-06-30,$0.98
2014-03-31,$0.05
2013-12-31,$0.81
2013-09-30,$1.01
2013-06-30,$0.72
2013-03-31,$0.93
2012-12-31,$-0.04
2012-09-30,$0.82
2012-06-30,$0.62
2012-03-31,$0.93
2011-12-31,$0.71
2011-09-30,$0.28
2011-06-30,$0.46
2011-03-31,$0.82
2010-12-31,$1.09
2010-09-30,$-0.59
2010-06-30,$0.96
2010-03-31,$0.82
2009-12-31,$0.81
2009-09-30,$0.86
2009-06-30,$0.27
2009-03-31,$-0.84
2008-12-31,$-1.31
2008-09-30,$-1.23
2008-06-30,$0.67
2008-03-31,$0.69
2007-12-31,$0.60
2007-09-30,$0.64
2007-06-30,$0.80
2007-03-31,$1.09
2006-12-31,$1.22
2006-09-30,$1.15
2006-06-30,$0.86
2006-03-31,$0.82
2005-12-31,$-0.92
2005-09-30,$-0.04
2005-06-30,$1.06
2005-03-31,$0.66
