Date,EBIT
2020-12-31,$191
2020-09-30,$166
2020-06-30,$134
2020-03-31,$-38
2019-12-31,$180
2019-09-30,$54
2019-06-30,$94
2019-03-31,$107
2018-12-31,$77
2018-09-30,$-501
2018-06-30,$171
2018-03-31,$142
2017-12-31,$161
2017-09-30,$166
2017-06-30,$160
2017-03-31,$128
2016-12-31,$287
2016-09-30,$79
2016-06-30,$112
2016-03-31,$68
2015-12-31,$185
2015-09-30,$76
2015-06-30,$131
2015-03-31,$104
2014-12-31,$59
2014-09-30,$176
2014-06-30,$139
2014-03-31,$134
2013-12-31,$165
2013-09-30,$140
2013-06-30,$149
2013-03-31,$120
2012-12-31,$147
2012-09-30,$69
2012-06-30,$134
2012-03-31,$121
2011-12-31,$131
2011-09-30,$91
2011-06-30,$101
2011-03-31,$101
2010-12-31,$75
2010-09-30,$106
2010-06-30,$81
2010-03-31,$82
2009-12-31,$61
2009-09-30,$96
2009-06-30,$82
2009-03-31,$75
2008-12-31,$-1
2008-09-30,$30
2008-06-30,$41
2008-03-31,$19
2007-12-31,$270
2007-09-30,$-36
2007-06-30,$-22
2007-03-31,$36
2006-12-31,$47
2006-09-30,$95
2006-06-30,$139
2006-03-31,$135
2005-12-31,$121
2005-09-30,$141
2005-06-30,$161
2005-03-31,$142
