CNO Financial ROA - Return on Assets Historical Data,CNO Financial ROA - Return on Assets Historical Data,CNO Financial ROA - Return on Assets Historical Data,CNO Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.30B,$35.34B,0.88%
2020-09-30,$0.47B,$34.57B,1.39%
2020-06-30,$0.38B,$33.98B,1.14%
2020-03-31,$0.34B,$32.74B,1.02%
2019-12-31,$0.41B,$33.63B,1.24%
2019-09-30,$0.16B,$33.28B,0.49%
2019-06-30,$-0.41B,$32.72B,-1.29%
2019-03-31,$-0.35B,$32.31B,-1.09%
2018-12-31,$-0.32B,$31.44B,-0.98%
2018-09-30,$-0.42B,$31.65B,-1.28%
2018-06-30,$0.22B,$32.47B,0.66%
2018-03-31,$0.20B,$32.81B,0.60%
2017-12-31,$0.18B,$33.11B,0.53%
2017-09-30,$0.48B,$32.71B,1.48%
2017-06-30,$0.40B,$32.84B,1.23%
2017-03-31,$0.38B,$32.43B,1.16%
2016-12-31,$0.36B,$31.98B,1.12%
2016-09-30,$0.26B,$32.42B,0.83%
2016-06-30,$0.28B,$32.02B,0.88%
2016-03-31,$0.26B,$31.46B,0.85%
2015-12-31,$0.27B,$31.13B,0.87%
2015-09-30,$0.22B,$31.01B,0.70%
2015-06-30,$0.30B,$31.05B,0.96%
2015-03-31,$0.33B,$31.60B,1.03%
2014-12-31,$0.05B,$31.16B,0.16%
2014-09-30,$0.07B,$30.98B,0.22%
2014-06-30,$0.24B,$34.91B,0.69%
2014-03-31,$0.24B,$34.46B,0.70%
2013-12-31,$0.48B,$34.78B,1.39%
2013-09-30,$0.47B,$33.92B,1.38%
2013-06-30,$0.19B,$33.78B,0.54%
2013-03-31,$0.17B,$34.90B,0.51%
2012-12-31,$0.22B,$34.13B,0.66%
2012-09-30,$0.18B,$34.16B,0.55%
2012-06-30,$0.37B,$33.38B,1.12%
2012-03-31,$0.35B,$33.05B,1.06%
2011-12-31,$0.34B,$32.92B,1.03%
2011-09-30,$0.40B,$32.93B,1.22%
2011-06-30,$0.26B,$32.40B,0.82%
2011-03-31,$0.25B,$32.07B,0.79%
2010-12-31,$0.24B,$31.90B,0.76%
2010-09-30,$0.13B,$31.97B,0.43%
2010-06-30,$0.10B,$31.22B,0.33%
2010-03-31,$0.10B,$30.79B,0.31%
2009-12-31,$0.09B,$30.34B,0.29%
2009-09-30,$-0.39B,$30.27B,-1.32%
2009-06-30,$-0.58B,$29.43B,-1.96%
2009-03-31,$-1.10B,$28.51B,-3.61%
2008-12-31,$-1.13B,$28.76B,-3.57%
2008-09-30,$-0.76B,$32.06B,-2.29%
2008-06-30,$-0.63B,$32.68B,-1.84%
2008-03-31,$-0.20B,$33.27B,-0.58%
2007-12-31,$-0.20B,$33.97B,-0.59%
2007-09-30,$-0.12B,$36.16B,-0.35%
2007-06-30,$-0.03B,$33.44B,-0.08%
2007-03-31,$0.00B,$33.15B,0.01%
2006-12-31,$0.07B,$32.72B,0.21%
2006-09-30,$0.12B,$32.31B,0.37%
2006-06-30,$0.15B,$31.55B,0.47%
2006-03-31,$0.26B,$31.37B,0.82%
2005-12-31,$0.27B,$31.53B,0.88%
