Date,Shares
2020-12-31,143
2020-09-30,142
2020-06-30,144
2020-03-31,146
2019-12-31,157
2019-09-30,155
2019-06-30,160
2019-03-31,162
2018-12-31,165
2018-09-30,165
2018-06-30,168
2018-03-31,170
2017-12-31,172
2017-09-30,171
2017-06-30,172
2017-03-31,175
2016-12-31,178
2016-09-30,176
2016-06-30,180
2016-03-31,182
2015-12-31,195
2015-09-30,192
2015-06-30,198
2015-03-31,202
2014-12-31,218
2014-09-30,215
2014-06-30,222
2014-03-31,220
2013-12-31,233
2013-09-30,229
2013-06-30,231
2013-03-31,243
2012-12-31,281
2012-09-30,231
2012-06-30,293
2012-03-31,297
2011-12-31,304
2011-09-30,303
2011-06-30,308
2011-03-31,307
2010-12-31,302
2010-09-30,306
2010-06-30,303
2010-03-31,292
2009-12-31,193
2009-09-30,186
2009-06-30,185
2009-03-31,185
2008-12-31,185
2008-09-30,185
2008-06-30,185
2008-03-31,185
2007-12-31,173
2007-09-30,188
2007-06-30,169
2007-03-31,151
2006-12-31,153
2006-09-30,153
2006-06-30,152
2006-03-31,184
2005-12-31,185
2005-09-30,185
2005-06-30,185
2005-03-31,187
