Date,EPS
2020-12-31,$2.60
2020-09-30,$2.45
2020-06-30,$-1.20
2020-03-31,$-0.25
2019-12-31,$2.25
2019-09-30,$2.36
2019-06-30,$2.32
2019-03-31,$2.15
2018-12-31,$2.01
2018-09-30,$2.05
2018-06-30,$1.91
2018-03-31,$1.82
2017-12-31,$1.00
2017-09-30,$1.59
2017-06-30,$1.40
2017-03-31,$1.43
2016-12-31,$1.39
2016-09-30,$1.56
2016-06-30,$1.47
2016-03-31,$1.35
2015-12-31,$1.14
2015-09-30,$1.38
2015-06-30,$1.33
2015-03-31,$1.28
2014-12-31,$0.87
2014-09-30,$1.37
2014-06-30,$1.35
2014-03-31,$1.31
2013-12-31,$1.23
2013-09-30,$1.20
2013-06-30,$1.20
2013-03-31,$1.33
2012-12-31,$0.00
2012-11-30,$0.00
2012-09-30,$1.24
2012-08-31,$1.21
2012-06-30,$0.99
2012-05-31,$1.00
2012-03-31,$1.21
2012-02-29,$1.18
2011-11-30,$0.00
2011-08-31,$1.18
2011-05-31,$1.09
2011-02-28,$0.84
2010-11-30,$0.00
2010-08-31,$0.47
2010-05-31,$0.33
2010-02-28,$-0.22
2009-11-30,$0.00
2009-08-31,$1.07
2009-05-31,$0.43
2009-02-28,$0.25
2008-11-30,$0.00
2008-08-31,$0.37
2008-05-31,$0.48
2008-02-29,$0.17
2007-11-30,$0.00
2007-08-31,$0.42
2007-05-31,$0.44
2007-03-31,$0.00
2007-02-28,$0.49
2006-11-30,$0.00
2006-09-30,$0.00
2006-08-31,$0.51
2006-06-30,$0.00
2006-05-31,$0.72
