Discover Financial Services Price/Book Ratio Historical Data,Discover Financial Services Price/Book Ratio Historical Data,Discover Financial Services Price/Book Ratio Historical Data,Discover Financial Services Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,100.18,,2.82
2020-12-31,90.1,$35.50,2.54
2020-09-30,57.17,$33.45,1.71
2020-06-30,49.14,$31.47,1.56
2020-03-31,34.62,$31.55,1.1
2019-12-31,81.85,$38.24,2.14
2019-09-30,77.84,$37.20,2.09
2019-06-30,74.07,$35.97,2.06
2019-03-31,67.58,$34.60,1.95
2018-12-31,55.7,$33.58,1.66
2018-09-30,71.78,$32.60,2.2
2018-06-30,65.77,$31.66,2.08
2018-03-31,66.89,$30.93,2.16
2017-12-31,71.21,$30.43,2.34
2017-09-30,59.38,$30.56,1.94
2017-06-30,56.93,$30.01,1.9
2017-03-31,62.3,$29.46,2.11
2016-12-31,65.39,$29.13,2.25
2016-09-30,51.02,$28.62,1.78
2016-06-30,48.09,$28.03,1.72
2016-03-31,45.46,$27.32,1.66
2015-12-31,47.58,$26.74,1.78
2015-09-30,45.9,$26.32,1.74
2015-06-30,50.62,$25.75,1.97
2015-03-31,49.27,$25.22,1.95
2014-12-31,57.01,$24.79,2.3
2014-09-30,55.85,$24.82,2.25
2014-06-30,53.54,$24.46,2.19
2014-03-31,50.05,$23.53,2.13
2013-12-31,47.94,$22.89,2.09
2013-09-30,43.14,$22.14,1.95
2013-06-30,40.5,$21.52,1.88
2013-03-31,37.96,$20.90,1.82
2012-12-31,32.63,,0.0
2012-11-30,35.1,,0.0
2012-09-30,33.43,,0.0
2012-08-31,32.59,$18.02,1.81
2012-06-30,29.01,,0.0
2012-05-31,27.78,$17.20,1.61
2012-03-31,27.89,,0.0
2012-02-29,25.1,$16.66,1.51
2011-11-30,19.84,,0.0
2011-08-31,20.9,$14.88,1.41
2011-05-31,19.76,$13.79,1.43
2011-02-28,17.99,$12.65,1.42
2010-11-30,15.1,,0.0
2010-08-31,11.97,$11.22,1.07
2010-05-31,11.08,$11.10,1.0
2010-02-28,11.23,$12.90,0.87
2009-11-30,12.7,,0.0
2009-08-31,11.28,$15.45,0.73
2009-05-31,7.83,$15.40,0.51
2009-02-28,4.68,$12.46,0.38
2008-11-30,8.3,,0.0
2008-08-31,13.28,$12.51,1.06
2008-05-31,13.78,$12.20,1.13
2008-02-29,12.09,$11.80,1.02
2007-11-30,13.86,,0.0
2007-08-31,18.41,$11.87,1.55
