Discover Financial Services ROA - Return on Assets Historical Data,Discover Financial Services ROA - Return on Assets Historical Data,Discover Financial Services ROA - Return on Assets Historical Data,Discover Financial Services ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$1.10B,$112.89B,0.95%
2020-09-30,$1.01B,$124.35B,0.87%
2020-06-30,$1.01B,$113.79B,0.89%
2020-03-31,$2.13B,$112.66B,1.90%
2019-12-31,$2.91B,$114.00B,2.61%
2019-09-30,$2.88B,$110.79B,2.61%
2019-06-30,$2.83B,$110.71B,2.59%
2019-03-31,$2.75B,$110.72B,2.56%
2018-12-31,$2.69B,$109.55B,2.56%
2018-09-30,$2.37B,$105.84B,2.31%
2018-06-30,$2.26B,$102.75B,2.24%
2018-03-31,$2.13B,$101.97B,2.16%
2017-12-31,$2.03B,$100.09B,2.10%
2017-09-30,$2.22B,$97.61B,2.35%
2017-06-30,$2.26B,$93.76B,2.43%
2017-03-31,$2.33B,$94.80B,2.55%
2016-12-31,$2.34B,$92.31B,2.61%
2016-09-30,$2.28B,$90.54B,2.58%
2016-06-30,$2.25B,$87.51B,2.59%
2016-03-31,$2.24B,$88.09B,2.59%
2015-12-31,$2.25B,$86.80B,2.63%
2015-09-30,$2.15B,$85.61B,2.55%
2015-06-30,$2.18B,$84.91B,2.62%
2015-03-31,$2.23B,$84.18B,2.72%
2014-12-31,$2.27B,$83.13B,2.82%
2014-09-30,$2.47B,$80.60B,3.10%
2014-06-30,$2.42B,$78.94B,3.08%
2014-03-31,$2.37B,$79.58B,3.07%
2013-12-31,$2.41B,$79.34B,3.16%
2013-03-31,$1.29B,$76.14B,2.29%
2012-09-30,$2.30B,$0.00B,6.31%
2012-08-31,$2.32B,$73.91B,6.35%
2012-06-30,$2.32B,$0.00B,6.51%
2012-03-31,$1.91B,$0.00B,3.73%
2012-02-29,$1.86B,$70.49B,2.77%
2011-05-31,$1.31B,$63.44B,2.12%
2011-02-28,$0.98B,$63.51B,1.59%
2010-05-31,$0.73B,$62.15B,1.34%
2010-02-28,$0.70B,$66.82B,1.42%
2009-05-31,$0.53B,$41.52B,1.32%
2009-02-28,$0.53B,$40.61B,1.40%
2008-05-31,$0.52B,$34.23B,1.43%
2008-02-29,$0.49B,$37.33B,1.34%
2007-08-31,$0.88B,$36.14B,4.90%
2007-03-31,$0.71B,$0.00B,9.76%
2007-02-28,$0.72B,$0.00B,9.85%
2006-09-30,$1.17B,$0.00B,inf%
