East West Bancorp Debt/Equity Ratio Historical Data,East West Bancorp Debt/Equity Ratio Historical Data,East West Bancorp Debt/Equity Ratio Historical Data,East West Bancorp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$46.89B,$5.27B,8.9
2020-09-30,$45.25B,$5.13B,8.83
2020-06-30,$44.42B,$4.99B,8.91
2020-03-31,$41.05B,$4.90B,8.37
2019-12-31,$39.18B,$5.02B,7.81
2019-09-30,$38.39B,$4.88B,7.86
2019-06-30,$38.16B,$4.74B,8.06
2019-03-31,$37.50B,$4.59B,8.17
2018-12-31,$36.62B,$4.42B,8.28
2018-09-30,$34.83B,$4.25B,8.21
2018-06-30,$33.96B,$4.11B,8.25
2018-03-31,$33.71B,$3.98B,8.47
2017-12-31,$33.28B,$3.84B,8.66
2017-09-30,$32.53B,$3.78B,8.6
2017-06-30,$32.25B,$3.67B,8.79
2017-03-31,$31.78B,$3.57B,8.91
2016-12-31,$31.36B,$3.43B,9.15
2016-09-30,$29.88B,$3.38B,8.85
2016-06-30,$29.66B,$3.30B,9.0
2016-03-31,$29.89B,$3.22B,9.29
2015-12-31,$29.23B,$3.12B,9.36
2015-09-30,$28.05B,$3.07B,9.13
2015-06-30,$27.06B,$3.01B,9.01
2015-03-31,$26.97B,$2.94B,9.18
2014-12-31,$25.89B,$2.86B,9.06
2014-09-30,$25.71B,$2.77B,9.29
2014-06-30,$24.86B,$2.70B,9.2
2014-03-31,$24.78B,$2.62B,9.44
2013-12-31,$22.37B,$2.36B,9.46
2013-09-30,$22.19B,$2.31B,9.6
2013-06-30,$21.05B,$2.26B,9.32
2013-03-31,$20.76B,$2.34B,8.86
2012-12-31,$20.15B,$2.38B,8.46
2012-09-30,$19.50B,$2.32B,8.41
2012-06-30,$19.23B,$2.30B,8.38
2012-03-31,$19.47B,$2.28B,8.53
2011-12-31,$19.66B,$2.31B,8.5
2011-09-30,$19.55B,$2.26B,8.65
2011-06-30,$19.64B,$2.23B,8.81
2011-03-31,$18.99B,$2.16B,8.8
2010-12-31,$18.59B,$2.11B,8.79
2010-09-30,$18.03B,$2.39B,7.56
2010-06-30,$17.63B,$2.34B,7.54
2010-03-31,$17.99B,$2.31B,7.8
2009-12-31,$18.28B,$2.29B,8.0
2009-09-30,$10.96B,$1.52B,7.21
2009-06-30,$11.24B,$1.48B,7.61
2009-03-31,$11.03B,$1.54B,7.18
2008-12-31,$10.87B,$1.55B,7.01
2008-09-30,$10.46B,$1.27B,8.27
2008-06-30,$10.51B,$1.27B,8.26
2008-03-31,$10.66B,$1.10B,9.65
2007-12-31,$10.68B,$1.17B,9.11
2007-09-30,$10.47B,$1.17B,8.98
2007-06-30,$9.77B,$1.06B,9.26
2007-03-31,$9.62B,$1.04B,9.26
2006-12-31,$9.80B,$1.02B,9.62
2006-09-30,$9.83B,$0.98B,10.02
2006-06-30,$9.08B,$0.94B,9.68
2006-03-31,$8.38B,$0.90B,9.27
2005-12-31,$7.54B,$0.73B,10.28
2005-09-30,$7.24B,$0.70B,10.39
2005-06-30,$6.14B,$0.56B,10.94
2005-03-31,$5.84B,$0.53B,10.93
