Date,EPS
2020-12-31,$1.15
2020-09-30,$1.12
2020-06-30,$0.70
2020-03-31,$1.00
2019-12-31,$1.29
2019-09-30,$1.17
2019-06-30,$1.03
2019-03-31,$1.12
2018-12-31,$1.18
2018-09-30,$1.17
2018-06-30,$1.18
2018-03-31,$1.28
2017-12-31,$0.59
2017-09-30,$0.91
2017-06-30,$0.81
2017-03-31,$1.16
2016-12-31,$0.76
2016-09-30,$0.76
2016-06-30,$0.71
2016-03-31,$0.74
2015-12-31,$0.64
2015-09-30,$0.65
2015-06-30,$0.68
2015-03-31,$0.69
2014-12-31,$0.66
2014-09-30,$0.64
2014-06-30,$0.59
2014-03-31,$0.52
2013-12-31,$0.54
2013-09-30,$0.53
2013-06-30,$0.52
2013-03-31,$0.50
2012-12-31,$0.49
2012-09-30,$0.48
2012-06-30,$0.47
2012-03-31,$0.45
2011-12-31,$0.43
2011-09-30,$0.41
2011-06-30,$0.39
2011-03-31,$0.37
2010-12-31,$0.22
2010-09-30,$0.27
2010-06-30,$0.21
2010-03-31,$0.13
2009-12-31,$3.57
2009-09-30,$-0.91
2009-06-30,$-1.83
2009-03-31,$-0.50
2008-12-31,$-0.05
2008-09-30,$-0.56
2008-06-30,$-0.41
2008-03-31,$0.08
2007-12-31,$0.59
2007-09-30,$0.67
2007-06-30,$0.66
2007-03-31,$0.68
2006-12-31,$0.63
2006-09-30,$0.58
2006-06-30,$0.59
2006-03-31,$0.55
2005-12-31,$0.54
2005-09-30,$0.52
2005-06-30,$0.47
2005-03-31,$0.44
