First American Financial Debt/Equity Ratio Historical Data,First American Financial Debt/Equity Ratio Historical Data,First American Financial Debt/Equity Ratio Historical Data,First American Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$7.87B,$4.92B,1.6
2020-09-30,$7.90B,$4.74B,1.67
2020-06-30,$7.71B,$4.58B,1.69
2020-03-31,$7.31B,$4.37B,1.67
2019-12-31,$7.09B,$4.43B,1.6
2019-09-30,$7.56B,$4.25B,1.78
2019-06-30,$7.36B,$4.09B,1.8
2019-03-31,$7.28B,$3.88B,1.88
2018-12-31,$6.89B,$3.75B,1.84
2018-09-30,$7.70B,$3.68B,2.1
2018-06-30,$6.39B,$3.57B,1.79
2018-03-31,$6.07B,$3.47B,1.75
2017-12-31,$6.09B,$3.48B,1.75
2017-09-30,$6.05B,$3.30B,1.83
2017-06-30,$6.12B,$3.20B,1.91
2017-03-31,$5.80B,$3.08B,1.88
2016-12-31,$5.82B,$3.01B,1.93
2016-09-30,$6.22B,$3.03B,2.05
2016-06-30,$5.89B,$2.94B,2.0
2016-03-31,$5.43B,$2.85B,1.91
2015-12-31,$5.48B,$2.75B,1.99
2015-09-30,$5.43B,$2.69B,2.02
2015-06-30,$5.69B,$2.66B,2.14
2015-03-31,$5.21B,$2.61B,2.0
2014-12-31,$5.09B,$2.58B,1.98
2014-09-30,$4.81B,$2.58B,1.86
2014-06-30,$4.47B,$2.55B,1.76
2014-03-31,$4.17B,$2.46B,1.69
2013-12-31,$4.10B,$2.46B,1.67
2013-09-30,$4.13B,$2.38B,1.74
2013-06-30,$3.96B,$2.35B,1.69
2013-03-31,$3.80B,$2.38B,1.59
2012-12-31,$3.70B,$2.35B,1.57
2012-09-30,$3.71B,$2.29B,1.63
2012-06-30,$3.63B,$2.16B,1.68
2012-03-31,$3.56B,$2.09B,1.7
2011-12-31,$3.33B,$2.04B,1.64
2011-09-30,$3.57B,$1.98B,1.8
2011-06-30,$3.76B,$2.03B,1.85
2011-03-31,$3.92B,$1.99B,1.97
2010-12-31,$3.83B,$1.99B,1.92
2010-09-30,$3.74B,$1.94B,1.93
2010-06-30,$3.61B,$1.88B,1.92
2010-03-31,$3.45B,$2.05B,1.69
2009-12-31,$3.50B,$2.03B,1.72
2009-09-30,$0.00B,$0.00B,0.0
2009-06-30,$0.00B,$0.00B,0.0
2009-03-31,$0.00B,$0.00B,0.0
2008-12-31,$0.00B,$0.00B,0.0
