Date,EBITDA
2020-12-31,$453
2020-09-30,$399
2020-06-30,$306
2020-03-31,$143
2019-12-31,$360
2019-09-30,$316
2019-06-30,$297
2019-03-31,$207
2018-12-31,$188
2018-09-30,$264
2018-06-30,$267
2018-03-31,$155
2017-12-31,$224
2017-09-30,$91
2017-06-30,$248
2017-03-31,$148
2016-12-31,$144
2016-09-30,$225
2016-06-30,$208
2016-03-31,$127
2015-12-31,$170
2015-09-30,$169
2015-06-30,$194
2015-03-31,$107
2014-12-31,$173
2014-09-30,$166
2014-06-30,$120
2014-03-31,$78
2013-12-31,$131
2013-09-30,$152
2013-06-30,$102
2013-03-31,$99
2012-12-31,$201
2012-09-30,$190
2012-06-30,$145
2012-03-31,$83
2011-12-31,$111
2011-09-30,$76
2011-06-30,$80
2011-03-31,$9
2010-12-31,$110
2010-09-30,$89
2010-06-30,$90
2010-03-31,$56
2009-12-31,$555
2009-09-30,$104
2009-06-30,$99
2009-03-31,$45
2008-12-31,
