Date,EPS
2020-12-31,$2.47
2020-09-30,$1.62
2020-06-30,$1.52
2020-03-31,$0.55
2019-12-31,$1.96
2019-09-30,$1.65
2019-06-30,$1.64
2019-03-31,$0.97
2018-12-31,$0.81
2018-09-30,$1.34
2018-06-30,$1.37
2018-03-31,$0.67
2017-12-31,$1.96
2017-09-30,$0.19
2017-06-30,$1.09
2017-03-31,$0.52
2016-12-31,$0.74
2016-09-30,$0.96
2016-06-30,$0.92
2016-03-31,$0.47
2015-12-31,$0.74
2015-09-30,$0.69
2015-06-30,$0.85
2015-03-31,$0.34
2014-12-31,$0.74
2014-09-30,$0.74
2014-06-30,$0.47
2014-03-31,$0.20
2013-12-31,$0.48
2013-09-30,$0.59
2013-06-30,$0.31
2013-03-31,$0.33
2012-12-31,$0.85
2012-09-30,$0.95
2012-06-30,$0.68
2012-03-31,$0.29
2011-12-31,$0.38
2011-09-30,$0.20
2011-06-30,$0.30
2011-03-31,$-0.15
2010-12-31,$0.44
2010-09-30,$0.31
2010-06-30,$0.32
2010-03-31,$0.13
2009-12-31,$0.38
2009-09-30,$0.37
2009-06-30,$0.27
2009-03-31,$0.00
2008-12-31,$0.00
