First American Financial Price/Book Ratio Historical Data,First American Financial Price/Book Ratio Historical Data,First American Financial Price/Book Ratio Historical Data,First American Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,59.9,,1.34
2020-12-31,51.17,$44.60,1.15
2020-09-30,49.98,$42.41,1.18
2020-06-30,46.75,$41.03,1.14
2020-03-31,40.94,$39.21,1.04
2019-12-31,55.93,$39.34,1.42
2019-09-30,56.22,$37.80,1.49
2019-06-30,50.8,$36.43,1.39
2019-03-31,48.33,$34.63,1.4
2018-12-31,41.55,$33.59,1.24
2018-09-30,47.58,$32.88,1.45
2018-06-30,47.35,$31.98,1.48
2018-03-31,53.33,$31.13,1.71
2017-12-31,50.6,$31.40,1.61
2017-09-30,44.81,$29.76,1.51
2017-06-30,39.76,$28.88,1.38
2017-03-31,34.67,$27.84,1.25
2016-12-31,32.04,$27.42,1.17
2016-09-30,34.05,$27.58,1.23
2016-06-30,34.58,$26.84,1.29
2016-03-31,32.55,$25.98,1.25
2015-12-31,30.45,$25.24,1.21
2015-09-30,32.92,$24.77,1.33
2015-06-30,31.15,$24.48,1.27
2015-03-31,29.66,$24.05,1.23
2014-12-31,27.98,$23.95,1.17
2014-09-30,22.22,$24.06,0.92
2014-06-30,22.57,$23.78,0.95
2014-03-31,21.38,$23.08,0.93
2013-12-31,22.61,$23.19,0.97
2013-09-30,19.44,$22.48,0.86
2013-06-30,17.5,$21.79,0.8
2013-03-31,20.19,$22.04,0.92
2012-12-31,18.93,$21.93,0.86
2012-09-30,16.94,$21.45,0.79
2012-06-30,13.21,$20.35,0.65
2012-03-31,12.89,$19.73,0.65
2011-12-31,9.77,$19.31,0.51
2011-09-30,9.83,$18.81,0.52
2011-06-30,11.96,$19.26,0.62
2011-03-31,12.56,$18.90,0.66
2010-12-31,11.33,$19.09,0.59
2010-09-30,11.29,$18.67,0.6
2010-06-30,9.54,$18.07,0.53
