First Commonwealth Financial Price/Book Ratio Historical Data,First Commonwealth Financial Price/Book Ratio Historical Data,First Commonwealth Financial Price/Book Ratio Historical Data,First Commonwealth Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,14.46,,1.3
2020-12-31,10.84,$11.12,0.98
2020-09-30,7.57,$11.07,0.68
2020-06-30,7.99,$10.96,0.73
2020-03-31,8.7,$10.79,0.81
2019-12-31,13.71,$10.74,1.28
2019-09-30,12.46,$10.57,1.18
2019-06-30,12.54,$10.37,1.21
2019-03-31,11.65,$10.12,1.15
2018-12-31,11.08,$9.90,1.12
2018-09-30,14.71,$9.69,1.52
2018-06-30,14.06,$9.57,1.47
2018-03-31,12.73,$9.21,1.38
2017-12-31,12.84,$9.11,1.41
2017-09-30,12.6,$9.17,1.37
2017-06-30,11.23,$9.02,1.25
2017-03-31,11.67,$8.54,1.37
2016-12-31,12.41,$8.43,1.47
2016-09-30,8.77,$8.45,1.04
2016-06-30,7.94,$8.34,0.95
2016-03-31,7.59,$8.24,0.92
2015-12-31,7.7,$8.09,0.95
2015-09-30,7.66,$8.12,0.94
2015-06-30,8.02,$7.99,1.0
2015-03-31,7.47,$7.95,0.94
2014-12-31,7.59,$7.81,0.97
2014-09-30,6.86,$7.74,0.89
2014-06-30,7.48,$7.73,0.97
2014-03-31,7.27,$7.61,0.96
2013-12-31,7.03,$7.47,0.94
2013-09-30,6.01,$7.45,0.81
2013-06-30,5.79,$7.37,0.79
2013-03-31,5.81,$7.53,0.77
2012-12-31,5.27,$7.49,0.7
2012-09-30,5.41,$7.45,0.73
2012-06-30,5.13,$7.38,0.7
2012-03-31,4.63,$7.30,0.63
2011-12-31,3.96,$7.23,0.55
2011-09-30,2.76,$7.33,0.38
2011-06-30,4.26,$7.26,0.59
2011-03-31,5.06,$7.17,0.71
2010-12-31,5.21,$7.15,0.73
2010-09-30,4.0,$7.08,0.57
2010-06-30,3.85,$7.59,0.51
2010-03-31,4.91,$7.36,0.67
2009-12-31,3.39,$7.50,0.45
2009-09-30,4.12,$7.56,0.54
2009-06-30,4.58,$7.45,0.61
2009-03-31,6.4,$7.61,0.84
2008-12-31,8.82,$7.68,1.15
2008-09-30,9.46,$7.23,1.31
2008-06-30,6.46,$7.46,0.87
2008-03-31,7.89,$7.85,1.01
2007-12-31,7.15,$7.78,0.92
2007-09-30,7.31,$7.69,0.95
2007-06-30,7.11,$7.59,0.94
2007-03-31,7.54,$7.74,0.97
2006-12-31,8.49,$7.73,1.1
2006-09-30,8.14,$7.71,1.06
2006-06-30,7.83,$7.24,1.08
2006-03-31,8.92,$7.32,1.22
