Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.740000,4.820000,4.670000,4.710000,3.425278,378600
2010-01-05,4.690000,4.740000,4.270000,4.320000,3.141657,1026700
2010-01-06,4.320000,4.390000,4.100000,4.150000,3.018027,1178600
2010-01-07,4.160000,4.420000,4.150000,4.400000,3.199834,642100
2010-01-08,4.420000,4.600000,4.370000,4.590000,3.338011,405100
2010-01-11,4.630000,4.630000,4.370000,4.390000,3.192563,381900
2010-01-12,4.340000,4.430000,4.300000,4.400000,3.199834,383900
2010-01-13,4.460000,4.570000,4.380000,4.550000,3.308920,430900
2010-01-14,4.520000,4.850000,4.520000,4.830000,3.512547,560000
2010-01-15,4.790000,4.880000,4.530000,4.750000,3.454368,681800
2010-01-19,4.780000,5.130000,4.750000,5.070000,3.687083,814000
2010-01-20,5.000000,5.220000,4.790000,5.120000,3.723445,712800
2010-01-21,5.150000,5.910000,5.120000,5.810000,4.225238,1849000
2010-01-22,5.820000,6.000000,5.620000,5.700000,4.145241,1129900
2010-01-25,5.750000,5.860000,5.630000,5.750000,4.181604,748500
2010-01-26,5.740000,5.970000,5.550000,5.700000,4.145241,789300
2010-01-27,5.650000,6.150000,5.600000,6.150000,4.496162,898600
2010-01-28,6.180000,6.540000,5.980000,6.100000,4.459608,927700
2010-01-29,6.220000,6.270000,5.860000,5.860000,4.284148,889400
2010-02-01,5.920000,6.010000,5.670000,5.720000,4.181793,533300
2010-02-02,5.740000,5.840000,5.580000,5.710000,4.174485,616700
2010-02-03,5.730000,5.880000,5.430000,5.590000,4.086753,643800
2010-02-04,5.560000,5.600000,5.230000,5.450000,3.984403,890200
2010-02-05,5.470000,5.750000,5.270000,5.570000,4.072133,749400
2010-02-08,5.550000,5.570000,5.410000,5.440000,3.977092,388900
2010-02-09,5.540000,5.650000,5.430000,5.520000,4.035578,345100
2010-02-10,5.470000,5.590000,5.370000,5.500000,4.020956,291500
2010-02-11,5.470000,5.520000,5.400000,5.510000,4.028269,270500
2010-02-12,5.460000,5.570000,5.420000,5.480000,4.006335,390000
2010-02-16,5.560000,5.700000,5.480000,5.690000,4.159863,219100
2010-02-17,5.700000,5.770000,5.520000,5.590000,4.086753,293500
2010-02-18,5.570000,5.630000,5.480000,5.490000,4.013646,242900
2010-02-19,5.490000,5.590000,5.450000,5.560000,4.064822,436700
2010-02-22,5.560000,5.670000,5.550000,5.600000,4.094065,276100
2010-02-23,5.570000,5.610000,5.450000,5.530000,4.042890,536000
2010-02-24,5.560000,5.740000,5.460000,5.650000,4.130620,484800
2010-02-25,5.570000,5.710000,5.510000,5.700000,4.167173,362100
2010-02-26,5.720000,5.720000,5.480000,5.610000,4.101376,396700
2010-03-01,5.650000,5.700000,5.520000,5.600000,4.094065,364100
2010-03-02,5.630000,5.660000,5.500000,5.590000,4.086753,542500
2010-03-03,5.620000,5.740000,5.570000,5.710000,4.174485,451200
2010-03-04,5.740000,5.790000,5.620000,5.780000,4.225658,204800
2010-03-05,5.790000,6.080000,5.700000,6.070000,4.437673,537800
2010-03-08,6.090000,6.180000,6.070000,6.150000,4.496162,315600
2010-03-09,6.120000,6.220000,6.020000,6.200000,4.532714,286100
2010-03-10,6.170000,6.490000,6.170000,6.420000,4.693555,398900
2010-03-11,6.360000,6.610000,6.330000,6.580000,4.810524,416500
2010-03-12,6.600000,6.610000,6.440000,6.490000,4.744729,423000
2010-03-15,6.500000,6.540000,6.380000,6.500000,4.752041,231600
2010-03-16,6.530000,6.550000,6.410000,6.510000,4.759351,242800
2010-03-17,6.520000,6.710000,6.480000,6.700000,4.898257,374500
2010-03-18,6.660000,6.820000,6.570000,6.630000,4.847081,311300
2010-03-19,6.850000,6.880000,6.460000,6.850000,5.007919,779200
2010-03-22,6.800000,7.000000,6.650000,7.000000,5.117581,358500
2010-03-23,7.020000,7.050000,6.840000,7.000000,5.117581,267000
2010-03-24,6.940000,7.020000,6.870000,6.930000,5.066408,201700
2010-03-25,6.970000,7.250000,6.880000,6.950000,5.081028,482900
2010-03-26,7.010000,7.110000,6.860000,6.870000,5.022541,266900
2010-03-29,6.910000,6.980000,6.680000,6.740000,4.927500,234300
2010-03-30,6.770000,6.890000,6.690000,6.770000,4.949432,263200
2010-03-31,6.710000,6.920000,6.650000,6.710000,4.905568,391200
2010-04-01,6.840000,6.860000,6.660000,6.820000,4.985987,225400
2010-04-05,6.870000,7.070000,6.820000,7.010000,5.124892,258000
2010-04-06,6.940000,7.440000,6.940000,7.430000,5.431946,355300
2010-04-07,7.370000,7.630000,7.290000,7.380000,5.395392,382300
2010-04-08,7.330000,7.540000,7.330000,7.430000,5.431946,300400
2010-04-09,7.410000,7.620000,7.250000,7.260000,5.307663,277900
2010-04-12,7.290000,7.390000,7.250000,7.320000,5.351528,429500
2010-04-13,7.320000,7.320000,7.150000,7.210000,5.271110,226300
2010-04-14,7.280000,7.500000,7.200000,7.490000,5.475812,275100
2010-04-15,7.460000,7.640000,7.410000,7.490000,5.475812,298200
2010-04-16,7.480000,7.510000,7.130000,7.380000,5.395392,428300
2010-04-19,7.310000,7.480000,7.110000,7.450000,5.446570,372400
2010-04-20,7.480000,7.560000,7.390000,7.540000,5.512366,327200
2010-04-21,7.050000,7.350000,6.910000,7.090000,5.183380,1106500
2010-04-22,7.020000,7.400000,6.980000,7.380000,5.395392,645200
2010-04-23,7.370000,7.430000,7.200000,7.380000,5.395392,492600
2010-04-26,7.330000,7.450000,6.910000,6.940000,5.073717,825300
2010-04-27,6.880000,7.040000,6.610000,6.640000,4.854393,570400
2010-04-28,6.670000,6.720000,6.540000,6.570000,4.810460,416200
2010-04-29,6.610000,6.870000,6.400000,6.870000,5.030116,509900
2010-04-30,6.850000,6.910000,6.530000,6.550000,4.795816,603200
2010-05-03,6.610000,6.660000,6.450000,6.590000,4.825104,442600
2010-05-04,6.510000,6.510000,6.050000,6.110000,4.473656,689100
2010-05-05,6.000000,6.170000,5.810000,6.030000,4.415082,663500
2010-05-06,5.950000,6.200000,5.540000,5.740000,4.202746,944400
2010-05-07,5.730000,5.880000,5.440000,5.460000,3.997734,1050400
2010-05-10,5.770000,5.960000,5.690000,5.940000,4.349183,535400
2010-05-11,5.780000,6.310000,5.760000,6.200000,4.539552,678600
2010-05-12,6.230000,6.500000,6.090000,6.490000,4.751885,496500
2010-05-13,6.450000,6.550000,6.350000,6.430000,4.707954,406700
2010-05-14,6.380000,6.390000,6.070000,6.300000,4.612770,450200
2010-05-17,6.370000,6.680000,6.300000,6.660000,4.876357,725100
2010-05-18,6.730000,6.750000,6.210000,6.300000,4.612770,496900
2010-05-19,6.260000,6.380000,6.050000,6.120000,4.480978,535300
2010-05-20,5.990000,6.060000,5.540000,5.560000,4.070954,665100
2010-05-21,5.430000,5.820000,5.410000,5.640000,4.129529,753200
2010-05-24,5.650000,5.670000,5.350000,5.370000,3.931838,372200
2010-05-25,5.190000,5.340000,5.080000,5.310000,3.887905,405700
2010-05-26,5.350000,5.420000,5.200000,5.240000,3.836653,519000
2010-05-27,5.370000,5.400000,5.220000,5.380000,3.939159,424000
2010-05-28,5.340000,5.370000,5.160000,5.230000,3.829331,344100
2010-06-01,5.180000,5.220000,4.960000,4.960000,3.631641,525600
2010-06-02,5.050000,5.320000,4.950000,5.300000,3.880585,408500
2010-06-03,5.370000,5.480000,5.280000,5.360000,3.924516,336200
2010-06-04,5.230000,5.260000,4.940000,4.980000,3.646286,677600
2010-06-07,5.030000,5.130000,4.980000,5.000000,3.660929,605000
2010-06-08,5.040000,5.070000,4.860000,4.860000,3.558423,746700
2010-06-09,4.940000,5.080000,4.880000,5.000000,3.660929,749000
2010-06-10,5.120000,5.200000,5.030000,5.120000,3.748790,409500
2010-06-11,5.070000,5.210000,5.030000,5.210000,3.814688,295700
2010-06-14,5.260000,5.290000,5.100000,5.170000,3.785400,322200
2010-06-15,5.240000,5.350000,5.190000,5.330000,3.902551,398600
2010-06-16,5.280000,5.380000,5.190000,5.320000,3.895229,302100
2010-06-17,5.350000,5.370000,5.180000,5.340000,3.909872,267800
2010-06-18,5.370000,5.370000,5.230000,5.250000,3.843976,642800
2010-06-21,5.320000,5.410000,5.110000,5.180000,3.792722,275800
2010-06-22,5.210000,5.320000,5.170000,5.170000,3.785400,374000
2010-06-23,5.180000,5.300000,5.100000,5.260000,3.851298,346800
2010-06-24,5.230000,5.260000,5.100000,5.210000,3.814688,312600
2010-06-25,5.240000,5.620000,5.200000,5.500000,4.027021,1042000
2010-06-28,5.500000,5.680000,5.450000,5.560000,4.070954,317800
2010-06-29,5.460000,5.460000,5.200000,5.250000,3.843976,690400
2010-06-30,5.260000,5.420000,5.230000,5.250000,3.843976,494200
2010-07-01,5.240000,5.320000,5.000000,5.210000,3.814688,594600
2010-07-02,5.240000,5.240000,5.020000,5.090000,3.726826,267400
2010-07-06,5.150000,5.300000,5.000000,5.010000,3.668251,407000
2010-07-07,5.050000,5.360000,5.050000,5.350000,3.917194,420000
2010-07-08,5.410000,5.620000,5.400000,5.590000,4.092918,505200
2010-07-09,5.570000,5.760000,5.520000,5.750000,4.210067,276900
2010-07-12,5.810000,5.870000,5.660000,5.790000,4.239357,303100
2010-07-13,5.880000,6.230000,5.840000,6.170000,4.517585,599100
2010-07-14,6.160000,6.190000,5.770000,5.890000,4.312573,473600
2010-07-15,5.890000,5.920000,5.600000,5.670000,4.151494,290800
2010-07-16,5.630000,5.630000,5.280000,5.290000,3.873262,422900
2010-07-19,5.320000,5.370000,5.090000,5.170000,3.785400,387200
2010-07-20,5.100000,5.180000,4.980000,5.110000,3.741469,435600
2010-07-21,5.170000,5.190000,4.900000,4.910000,3.595031,505300
2010-07-22,5.030000,5.100000,5.000000,5.020000,3.675572,598500
2010-07-23,5.000000,5.220000,4.980000,5.220000,3.822010,583100
2010-07-26,5.220000,5.270000,5.070000,5.120000,3.748790,974800
2010-07-27,5.180000,5.250000,5.100000,5.130000,3.756114,676200
2010-07-28,5.090000,5.200000,4.970000,5.120000,3.756112,467700
2010-07-29,5.250000,5.460000,5.070000,5.270000,3.866156,467500
2010-07-30,5.150000,5.420000,5.110000,5.300000,3.888164,286800
2010-08-02,5.320000,5.430000,5.000000,5.050000,3.704760,612600
2010-08-03,5.030000,5.250000,4.970000,5.140000,3.770785,745700
2010-08-04,5.150000,5.230000,4.800000,4.900000,3.594717,1251600
2010-08-05,4.870000,5.070000,4.810000,5.050000,3.704760,8044000
2010-08-06,4.980000,5.080000,4.850000,5.080000,3.726768,1395500
2010-08-09,5.100000,5.140000,5.050000,5.120000,3.756112,712700
2010-08-10,5.050000,5.160000,5.020000,5.090000,3.734105,555400
2010-08-11,4.970000,5.070000,4.890000,5.000000,3.668079,1089300
2010-08-12,4.950000,5.040000,4.940000,5.020000,3.682752,675700
