First Citizens BancShares Debt/Equity Ratio Historical Data,First Citizens BancShares Debt/Equity Ratio Historical Data,First Citizens BancShares Debt/Equity Ratio Historical Data,First Citizens BancShares Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$45.73B,$4.23B,10.81
2020-09-30,$44.59B,$4.07B,10.95
2020-06-30,$43.88B,$3.99B,10.99
2020-03-31,$37.64B,$3.96B,9.51
2019-12-31,$36.24B,$3.59B,10.11
2019-09-30,$34.18B,$3.57B,9.58
2019-06-30,$34.08B,$3.58B,9.53
2019-03-31,$32.44B,$3.52B,9.21
2018-12-31,$31.92B,$3.49B,9.15
2018-09-30,$31.46B,$3.50B,8.99
2018-06-30,$31.64B,$3.45B,9.18
2018-03-31,$31.06B,$3.37B,9.21
2017-12-31,$31.19B,$3.33B,9.36
2017-09-30,$31.27B,$3.31B,9.44
2017-06-30,$31.53B,$3.24B,9.73
2017-03-31,$30.92B,$3.10B,9.97
2016-12-31,$29.98B,$3.01B,9.95
2016-09-30,$29.89B,$3.08B,9.69
2016-06-30,$29.20B,$3.04B,9.62
2016-03-31,$29.23B,$2.96B,9.87
2015-12-31,$28.60B,$2.87B,9.96
2015-09-30,$28.59B,$2.86B,9.99
2015-06-30,$28.10B,$2.79B,10.06
2015-03-31,$28.09B,$2.77B,10.16
2014-12-31,$27.39B,$2.69B,10.19
2014-09-30,$19.78B,$2.17B,9.13
2014-06-30,$19.91B,$2.15B,9.27
2014-03-31,$20.05B,$2.11B,9.53
2013-12-31,$19.12B,$2.07B,9.23
2013-09-30,$19.53B,$1.98B,9.85
2013-06-30,$19.37B,$1.94B,9.99
2013-03-31,$19.43B,$1.92B,10.13
2012-12-31,$19.42B,$1.86B,10.42
2012-09-30,$19.20B,$1.97B,9.73
2012-06-30,$19.40B,$1.93B,10.05
2012-03-31,$19.33B,$1.89B,10.22
2011-12-31,$19.14B,$1.86B,10.28
2011-09-30,$19.14B,$1.87B,10.23
2011-06-30,$19.21B,$1.81B,10.62
2011-03-31,$19.38B,$1.79B,10.84
2010-12-31,$19.07B,$1.73B,11.01
2010-09-30,$19.33B,$1.72B,11.25
2010-06-30,$19.41B,$1.70B,11.45
2010-03-31,$19.55B,$1.67B,11.72
2009-12-31,$16.91B,$1.56B,10.84
2009-09-30,$17.00B,$1.52B,11.22
2009-06-30,$15.88B,$1.43B,11.08
2009-03-31,$15.78B,$1.44B,10.99
2008-12-31,$15.30B,$1.44B,10.6
2008-09-30,$15.16B,$1.50B,10.08
2008-06-30,$14.94B,$1.49B,10.04
2008-03-31,$15.26B,$1.49B,10.27
2007-12-31,$14.77B,$1.44B,10.25
2007-09-30,$14.91B,$1.40B,10.64
2007-06-30,$14.64B,$1.37B,10.7
2007-03-31,$14.51B,$1.34B,10.81
2006-12-31,$14.42B,$1.31B,11.0
2006-09-30,$14.36B,$1.28B,11.25
2006-06-30,$14.30B,$1.23B,11.64
2006-03-31,$13.89B,$1.20B,11.54
2005-12-31,$13.46B,$1.18B,11.4
2005-09-30,$13.33B,$1.16B,11.5
2005-06-30,$12.89B,$1.13B,11.36
2005-03-31,$12.49B,$1.10B,11.33
