First Citizens BancShares Price/Book Ratio Historical Data,First Citizens BancShares Price/Book Ratio Historical Data,First Citizens BancShares Price/Book Ratio Historical Data,First Citizens BancShares Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,852.64,,1.98
2020-12-31,573.96,$430.85,1.33
2020-09-30,318.36,$415.08,0.77
2020-06-30,404.04,$401.80,1.01
2020-03-31,331.73,$384.97,0.86
2019-12-31,529.78,$337.40,1.57
2019-09-30,469.04,$327.86,1.43
2019-06-30,447.5,$319.73,1.4
2019-03-31,404.32,$309.47,1.31
2018-12-31,374.03,$300.05,1.25
2018-09-30,448.19,$294.41,1.52
2018-06-30,399.35,$287.00,1.39
2018-03-31,408.86,$280.78,1.46
2017-12-31,398.42,$277.61,1.44
2017-09-30,369.33,$275.92,1.34
2017-06-30,367.83,$269.76,1.36
2017-03-31,330.71,$258.18,1.28
2016-12-31,349.77,$250.83,1.39
2016-09-30,289.32,$256.77,1.13
2016-06-30,254.61,$252.76,1.01
2016-03-31,246.6,$246.56,1.0
2015-12-31,253.27,$239.14,1.06
2015-09-30,221.44,$238.35,0.93
2015-06-30,257.4,$232.63,1.11
2015-03-31,253.82,$230.26,1.1
2014-12-31,246.78,$223.78,1.1
2014-09-30,211.24,$225.25,0.94
2014-06-30,238.59,$223.43,1.07
2014-03-31,234.18,$218.82,1.07
2013-12-31,216.27,$215.35,1.0
2013-09-30,199.45,$206.06,0.97
2013-06-30,186.03,$201.61,0.92
2013-03-31,176.71,$199.46,0.89
2012-12-31,157.88,$193.74,0.81
2012-09-30,156.9,$192.48,0.82
2012-06-30,160.23,$187.89,0.85
2012-03-31,175.33,$184.14,0.95
2011-12-31,167.66,$180.97,0.93
2011-09-30,137.28,$181.53,0.76
2011-06-30,178.72,$174.02,1.03
2011-03-31,191.16,$171.38,1.12
2010-12-31,179.9,$166.07,1.08
2010-09-30,176.02,$164.66,1.07
2010-06-30,182.43,$163.06,1.12
2010-03-31,188.25,$159.81,1.18
2009-12-31,155.1,$149.43,1.04
2009-09-30,150.17,$145.15,1.03
2009-06-30,125.88,$137.44,0.92
2009-03-31,123.88,$137.64,0.9
2008-12-31,143.19,$138.32,1.04
2008-09-30,167.41,$144.16,1.16
2008-06-30,130.22,$142.53,0.91
2008-03-31,129.86,$142.41,0.91
2007-12-31,135.62,$138.11,0.98
2007-09-30,161.88,$134.34,1.21
2007-06-30,180.17,$131.10,1.37
2007-03-31,186.02,$128.64,1.45
2006-12-31,187.29,$125.62,1.49
2006-09-30,176.38,$122.34,1.44
2006-06-30,184.81,$117.74,1.57
2006-03-31,177.65,$115.32,1.54
