First Citizens BancShares ROA - Return on Assets Historical Data,First Citizens BancShares ROA - Return on Assets Historical Data,First Citizens BancShares ROA - Return on Assets Historical Data,First Citizens BancShares ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.48B,$49.96B,1.01%
2020-09-30,$0.45B,$48.67B,1.00%
2020-06-30,$0.43B,$47.87B,1.04%
2020-03-31,$0.40B,$41.59B,1.03%
2019-12-31,$0.46B,$39.83B,1.21%
2019-09-30,$0.44B,$37.75B,1.21%
2019-06-30,$0.44B,$37.66B,1.21%
2019-03-31,$0.41B,$35.96B,1.16%
2018-12-31,$0.40B,$35.41B,1.14%
2018-09-30,$0.36B,$34.96B,1.05%
2018-06-30,$0.31B,$35.09B,0.91%
2018-03-31,$0.36B,$34.44B,1.03%
2017-12-31,$0.32B,$34.53B,0.94%
2017-09-30,$0.32B,$34.58B,0.95%
2017-06-30,$0.31B,$34.77B,0.91%
2017-03-31,$0.24B,$34.02B,0.73%
2016-12-31,$0.23B,$32.99B,0.69%
2016-09-30,$0.22B,$32.97B,0.67%
2016-06-30,$0.22B,$32.23B,0.69%
2016-03-31,$0.20B,$32.20B,0.62%
2015-12-31,$0.21B,$31.48B,0.68%
2015-09-30,$0.23B,$31.45B,0.75%
2015-06-30,$0.20B,$30.90B,0.71%
2015-03-31,$0.18B,$30.85B,0.70%
2014-12-31,$0.14B,$30.08B,0.58%
2014-09-30,$0.10B,$21.94B,0.47%
2014-06-30,$0.12B,$22.06B,0.53%
2014-03-31,$0.13B,$22.16B,0.62%
2013-12-31,$0.17B,$21.19B,0.78%
2013-09-30,$0.16B,$21.51B,0.75%
2013-06-30,$0.16B,$21.31B,0.75%
2013-03-31,$0.15B,$21.35B,0.72%
2012-12-31,$0.13B,$21.28B,0.63%
2012-09-30,$0.14B,$21.17B,0.68%
2012-06-30,$0.19B,$21.33B,0.88%
2012-03-31,$0.17B,$21.23B,0.80%
2011-12-31,$0.20B,$21.00B,0.93%
2011-09-30,$0.19B,$21.02B,0.92%
2011-06-30,$0.14B,$21.02B,0.67%
2011-03-31,$0.15B,$21.17B,0.71%
2010-12-31,$0.19B,$20.81B,0.92%
2010-09-30,$0.18B,$21.05B,0.89%
2010-06-30,$0.24B,$21.11B,1.20%
2010-03-31,$0.21B,$21.22B,1.13%
2009-12-31,$0.12B,$18.47B,0.65%
2009-09-30,$0.11B,$18.51B,0.63%
2009-06-30,$0.05B,$17.32B,0.28%
2009-03-31,$0.07B,$17.21B,0.41%
2008-12-31,$0.09B,$16.75B,0.55%
2008-09-30,$0.10B,$16.67B,0.63%
2008-06-30,$0.11B,$16.42B,0.65%
2008-03-31,$0.11B,$16.75B,0.69%
2007-12-31,$0.11B,$16.21B,0.68%
2007-09-30,$0.12B,$16.31B,0.73%
2007-06-30,$0.13B,$16.01B,0.80%
2007-03-31,$0.13B,$15.85B,0.81%
2006-12-31,$0.13B,$15.73B,0.82%
2006-09-30,$0.12B,$15.63B,0.80%
2006-06-30,$0.12B,$15.53B,0.80%
2006-03-31,$0.12B,$15.10B,0.80%
2005-12-31,$0.11B,$14.64B,0.80%
