Fifth Third Bancorp Debt/Equity Ratio Historical Data,Fifth Third Bancorp Debt/Equity Ratio Historical Data,Fifth Third Bancorp Debt/Equity Ratio Historical Data,Fifth Third Bancorp Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$181.57B,$23.11B,7.86
2020-09-30,$179.05B,$22.95B,7.8
2020-06-30,$180.57B,$22.34B,8.09
2020-03-31,$163.52B,$21.87B,7.48
2019-12-31,$148.17B,$21.20B,6.99
2019-09-30,$149.68B,$21.40B,6.99
2019-06-30,$148.13B,$20.67B,7.17
2019-03-31,$148.01B,$19.84B,7.46
2018-12-31,$129.82B,$16.25B,7.99
2018-09-30,$125.84B,$15.85B,7.94
2018-06-30,$124.44B,$16.25B,7.66
2018-03-31,$125.30B,$16.20B,7.73
2017-12-31,$125.86B,$16.22B,7.76
2017-09-30,$125.88B,$16.38B,7.69
2017-06-30,$124.62B,$16.45B,7.58
2017-03-31,$123.74B,$16.46B,7.52
2016-12-31,$125.95B,$16.23B,7.76
2016-09-30,$126.48B,$16.80B,7.53
2016-06-30,$126.87B,$16.75B,7.57
2016-03-31,$126.08B,$16.36B,7.71
2015-12-31,$125.18B,$15.87B,7.89
2015-09-30,$126.06B,$15.86B,7.95
2015-06-30,$126.02B,$15.64B,8.06
2015-03-31,$124.57B,$15.90B,7.83
2014-12-31,$123.04B,$15.67B,7.86
2014-09-30,$118.75B,$15.44B,7.69
2014-06-30,$117.05B,$15.51B,7.55
2014-03-31,$114.79B,$14.86B,7.72
2013-12-31,$115.82B,$14.63B,7.92
2013-09-30,$110.99B,$14.68B,7.56
2013-06-30,$109.08B,$14.28B,7.64
2013-03-31,$107.46B,$13.92B,7.72
2012-12-31,$108.13B,$13.76B,7.86
2012-09-30,$103.71B,$13.77B,7.53
2012-06-30,$103.72B,$13.82B,7.5
2012-03-31,$103.14B,$13.61B,7.58
2011-12-31,$103.72B,$13.25B,7.83
2011-09-30,$101.85B,$13.06B,7.8
2011-06-30,$98.20B,$12.60B,7.79
2011-03-31,$98.29B,$12.19B,8.06
2010-12-31,$96.93B,$14.08B,6.88
2010-09-30,$98.41B,$13.91B,7.07
2010-06-30,$98.32B,$13.70B,7.18
2010-03-31,$99.24B,$13.41B,7.4
2009-12-31,$99.88B,$13.50B,7.4
2009-09-30,$97.05B,$13.69B,7.09
2009-06-30,$102.28B,$13.70B,7.47
2009-03-31,$107.21B,$12.10B,8.86
2008-12-31,$107.69B,$12.08B,8.92
2008-09-30,$105.60B,$10.70B,9.87
2008-06-30,$104.22B,$10.75B,9.69
2008-03-31,$102.04B,$9.35B,10.91
2007-12-31,$101.80B,$9.16B,11.11
2007-09-30,$94.97B,$9.29B,10.22
2007-06-30,$92.20B,$9.19B,10.03
2007-03-31,$90.02B,$9.80B,9.18
2006-12-31,$90.65B,$10.02B,9.05
2006-09-30,$95.81B,$10.02B,9.56
2006-06-30,$96.56B,$9.56B,10.1
2006-03-31,$95.58B,$9.47B,10.09
2005-12-31,$95.78B,$9.45B,10.14
2005-09-30,$95.22B,$9.39B,10.15
2005-06-30,$93.81B,$9.35B,10.03
2005-03-31,$93.83B,$8.89B,10.56
