Fifth Third Bancorp ROA - Return on Assets Historical Data,Fifth Third Bancorp ROA - Return on Assets Historical Data,Fifth Third Bancorp ROA - Return on Assets Historical Data,Fifth Third Bancorp ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$1.32B,$204.68B,0.67%
2020-09-30,$1.46B,$202.00B,0.77%
2020-06-30,$1.42B,$202.91B,0.78%
2020-03-31,$1.69B,$185.39B,0.97%
2019-12-31,$2.42B,$169.37B,1.43%
2019-09-30,$2.15B,$171.08B,1.31%
2019-06-30,$2.04B,$168.80B,1.31%
2019-03-31,$2.19B,$167.85B,1.47%
2018-12-31,$2.12B,$146.07B,1.49%
2018-09-30,$2.16B,$141.69B,1.53%
2018-06-30,$2.74B,$140.70B,1.93%
2018-03-31,$2.50B,$141.50B,1.76%
2017-12-31,$2.11B,$142.08B,1.49%
2017-09-30,$1.99B,$142.26B,1.40%
2017-06-30,$1.49B,$141.07B,1.05%
2017-03-31,$1.45B,$140.20B,1.02%
2016-12-31,$1.47B,$142.18B,1.03%
2016-09-30,$1.74B,$143.28B,1.22%
2016-06-30,$1.60B,$143.63B,1.13%
2016-03-31,$1.59B,$142.43B,1.12%
2015-12-31,$1.62B,$141.05B,1.15%
2015-09-30,$1.35B,$141.92B,0.96%
2015-06-30,$1.31B,$141.66B,0.95%
2015-03-31,$1.44B,$140.47B,1.05%
2014-12-31,$1.40B,$138.71B,1.05%
2014-09-30,$1.43B,$134.19B,1.09%
2014-06-30,$1.53B,$132.56B,1.18%
2014-03-31,$1.70B,$129.65B,1.33%
2013-12-31,$1.80B,$130.44B,1.44%
2013-09-30,$1.81B,$125.67B,1.47%
2013-06-30,$1.74B,$123.36B,1.44%
2013-03-31,$1.54B,$121.38B,1.28%
2012-12-31,$1.54B,$121.89B,1.30%
2012-09-30,$1.46B,$117.48B,1.24%
2012-06-30,$1.47B,$117.54B,1.26%
2012-03-31,$1.43B,$116.75B,1.24%
2011-12-31,$1.09B,$116.97B,0.97%
2011-09-30,$1.05B,$114.91B,0.94%
2011-06-30,$0.86B,$110.81B,0.77%
2011-03-31,$0.66B,$110.49B,0.59%
2010-12-31,$0.50B,$111.01B,0.45%
2010-09-30,$0.07B,$112.32B,0.06%
2010-06-30,$-0.26B,$112.03B,-0.23%
2010-03-31,$0.47B,$112.65B,0.41%
2009-12-31,$0.51B,$113.38B,0.44%
2009-09-30,$-1.51B,$110.74B,-1.30%
2009-06-30,$-1.43B,$115.98B,-1.22%
2009-03-31,$-2.49B,$119.31B,-2.12%
2008-12-31,$-2.18B,$119.76B,-1.89%
2008-09-30,$0.02B,$116.29B,0.02%
2008-06-30,$0.43B,$114.98B,0.38%
2008-03-31,$1.00B,$111.40B,0.94%
2007-12-31,$1.08B,$110.96B,1.03%
2007-09-30,$1.13B,$104.27B,1.11%
2007-06-30,$1.18B,$101.39B,1.15%
2007-03-31,$1.18B,$99.82B,1.15%
2006-12-31,$1.19B,$100.67B,1.14%
2006-09-30,$1.45B,$105.83B,1.38%
2006-06-30,$1.47B,$106.11B,1.40%
2006-03-31,$1.51B,$105.04B,1.44%
2005-12-31,$1.55B,$105.23B,1.49%
